Browser,OS,screenH,workerid,screenW
Chrome,Windows,864,139,1536
Chrome,Windows,1080,140,1920
Firefox,Windows,900,141,1600
Chrome,Linux,800,142,1280
Chrome,Mac,900,143,1440
Chrome,Windows,768,144,1366
Chrome,Windows,768,145,1366
Chrome,Windows,768,146,1366
Chrome,Windows,720,147,1280
Chrome,Windows,1080,148,1920
Chrome,Windows,1080,149,1920
Chrome,Windows,768,150,1360
Chrome,Windows,900,151,1600
Chrome,Windows,768,152,1366
Chrome,Windows,768,153,1366
Chrome,Windows,1080,154,1920
Chrome,Mac,1080,155,1920
Chrome,Mac,800,156,1280
Firefox,Windows,1080,157,1920
Chrome,Windows,1080,158,1920
Chrome,Windows,1080,159,1920
Chrome,Windows,1080,160,1920
Chrome,Windows,864,161,1536
Chrome,Windows,900,162,1440
Chrome,Windows,768,163,1366
Chrome,Windows,768,164,1366
Firefox,Windows,1080,165,1920
Chrome,Windows,720,166,1280
Chrome,Windows,1080,167,1920
Chrome,Windows,900,168,1600
Chrome,Windows,1080,169,1920
Chrome,Windows,768,170,1366
Chrome,Windows,864,171,1536
Chrome,Windows,1080,172,1920
Chrome,Windows,900,173,1600
Chrome,Windows,1080,174,1920
Chrome,Windows,1080,175,1920
Chrome,Windows,1080,176,1920
Firefox,Windows,990,177,1760
Firefox,Windows,1440,178,2560
Chrome,Windows,1080,179,1920
