item_number,block_sequence,trial_sequence_total,Answer.time_in_minutes,workerid,Answer.condition,list_number,response,condition
16,6,22,9.231016666666667,1,undefined,1,0.05,CNPC
106,6,23,9.231016666666667,1,undefined,1,0.99,FILL
17,6,24,9.231016666666667,1,undefined,1,0.03,SUBJ
18,6,25,9.231016666666667,1,undefined,1,0.01,WH
103,7,26,9.231016666666667,1,undefined,1,0.47,FILL
8,7,27,9.231016666666667,1,undefined,1,0.97,SUBJ
9,7,28,9.231016666666667,1,undefined,1,0.01,WH
7,7,29,9.231016666666667,1,undefined,1,0.13,CNPC
993,7,30,9.231016666666667,1,undefined,99,0.03,UNGRAM
112,8,31,9.231016666666667,1,undefined,1,0.96,FILL
36,8,32,9.231016666666667,1,undefined,1,0.02,WH
35,8,33,9.231016666666667,1,undefined,1,0.01,SUBJ
34,8,34,9.231016666666667,1,undefined,1,0.02,CNPC
107,9,35,9.231016666666667,1,undefined,1,0.99,FILL
20,9,36,9.231016666666667,1,undefined,1,0.97,SUBJ
21,9,37,9.231016666666667,1,undefined,1,0.03,WH
19,9,38,9.231016666666667,1,undefined,1,0,CNPC
6,10,39,9.231016666666667,1,undefined,1,0.03,WH
102,10,40,9.231016666666667,1,undefined,1,0.98,FILL
4,10,41,9.231016666666667,1,undefined,1,0.02,CNPC
5,10,42,9.231016666666667,1,undefined,1,0.03,SUBJ
992,10,43,9.231016666666667,1,undefined,99,0.02,UNGRAM
38,11,44,9.231016666666667,1,undefined,1,0.02,SUBJ
39,11,45,9.231016666666667,1,undefined,1,0.03,WH
37,11,46,9.231016666666667,1,undefined,1,0.02,CNPC
113,11,47,9.231016666666667,1,undefined,1,0.02,FILL
29,12,48,9.231016666666667,1,undefined,1,0.02,SUBJ
28,12,49,9.231016666666667,1,undefined,1,0.98,CNPC
30,12,50,9.231016666666667,1,undefined,1,0.02,WH
110,12,51,9.231016666666667,1,undefined,1,0.99,FILL
15,13,52,9.231016666666667,1,undefined,1,0.01,WH
13,13,53,9.231016666666667,1,undefined,1,0,CNPC
105,13,54,9.231016666666667,1,undefined,1,0.01,FILL
14,13,55,9.231016666666667,1,undefined,1,0.01,SUBJ
1,14,56,9.231016666666667,1,undefined,1,0.47,CNPC
2,14,57,9.231016666666667,1,undefined,1,0.02,SUBJ
3,14,58,9.231016666666667,1,undefined,1,0.03,WH
101,14,59,9.231016666666667,1,undefined,1,0.98,FILL
991,14,60,9.231016666666667,1,undefined,99,0.01,UNGRAM
33,15,61,9.231016666666667,1,undefined,1,0,WH
32,15,62,9.231016666666667,1,undefined,1,0,SUBJ
111,15,63,9.231016666666667,1,undefined,1,0,FILL
31,15,64,9.231016666666667,1,undefined,1,0,CNPC
practice_good,practice,0,9.629133333333334,2,undefined,practice,1,practice_good
practice_bad,practice,0,9.629133333333334,2,undefined,practice,0.24,practice_bad
40,1,1,9.629133333333334,2,undefined,1,0.22,CNPC
41,1,2,9.629133333333334,2,undefined,1,0.8,SUBJ
42,1,3,9.629133333333334,2,undefined,1,0.5,WH
114,1,4,9.629133333333334,2,undefined,1,0.85,FILL
20,2,5,9.629133333333334,2,undefined,1,0.99,SUBJ
107,2,6,9.629133333333334,2,undefined,1,1,FILL
19,2,7,9.629133333333334,2,undefined,1,0.81,CNPC
21,2,8,9.629133333333334,2,undefined,1,1,WH
37,3,9,9.629133333333334,2,undefined,1,0.19,CNPC
38,3,10,9.629133333333334,2,undefined,1,0.59,SUBJ
113,3,11,9.629133333333334,2,undefined,1,0.79,FILL
39,3,12,9.629133333333334,2,undefined,1,0.96,WH
111,4,13,9.629133333333334,2,undefined,1,1,FILL
31,4,14,9.629133333333334,2,undefined,1,0.68,CNPC
32,4,15,9.629133333333334,2,undefined,1,0.38,SUBJ
33,4,16,9.629133333333334,2,undefined,1,0.61,WH
15,5,17,9.629133333333334,2,undefined,1,1,WH
14,5,18,9.629133333333334,2,undefined,1,0.33,SUBJ
105,5,19,9.629133333333334,2,undefined,1,1,FILL
13,5,20,9.629133333333334,2,undefined,1,1,CNPC
101,6,21,9.629133333333334,2,undefined,1,0.68,FILL
3,6,22,9.629133333333334,2,undefined,1,0.95,WH
2,6,23,9.629133333333334,2,undefined,1,0.72,SUBJ
1,6,24,9.629133333333334,2,undefined,1,0.7,CNPC
991,6,25,9.629133333333334,2,undefined,99,1,UNGRAM
44,7,26,9.629133333333334,2,undefined,1,0.2,SUBJ
115,7,27,9.629133333333334,2,undefined,1,0.66,FILL
43,7,28,9.629133333333334,2,undefined,1,0.81,CNPC
45,7,29,9.629133333333334,2,undefined,1,0.66,WH
106,8,30,9.629133333333334,2,undefined,1,1,FILL
18,8,31,9.629133333333334,2,undefined,1,0.73,WH
17,8,32,9.629133333333334,2,undefined,1,0.29,SUBJ
16,8,33,9.629133333333334,2,undefined,1,0.47,CNPC
7,9,34,9.629133333333334,2,undefined,1,1,CNPC
8,9,35,9.629133333333334,2,undefined,1,1,SUBJ
103,9,36,9.629133333333334,2,undefined,1,0.67,FILL
9,9,37,9.629133333333334,2,undefined,1,0.8,WH
993,9,38,9.629133333333334,2,undefined,99,0.19,UNGRAM
112,10,39,9.629133333333334,2,undefined,1,0.85,FILL
34,10,40,9.629133333333334,2,undefined,1,0.7,CNPC
36,10,41,9.629133333333334,2,undefined,1,0.28,WH
35,10,42,9.629133333333334,2,undefined,1,0.73,SUBJ
22,11,43,9.629133333333334,2,undefined,1,1,CNPC
24,11,44,9.629133333333334,2,undefined,1,1,WH
23,11,45,9.629133333333334,2,undefined,1,0.76,SUBJ
108,11,46,9.629133333333334,2,undefined,1,0.57,FILL
25,12,47,9.629133333333334,2,undefined,1,0.31,CNPC
27,12,48,9.629133333333334,2,undefined,1,0.74,WH
26,12,49,9.629133333333334,2,undefined,1,0.53,SUBJ
109,12,50,9.629133333333334,2,undefined,1,0.86,FILL
30,13,51,9.629133333333334,2,undefined,1,0.08,WH
29,13,52,9.629133333333334,2,undefined,1,0.49,SUBJ
110,13,53,9.629133333333334,2,undefined,1,0.86,FILL
28,13,54,9.629133333333334,2,undefined,1,1,CNPC
104,14,55,9.629133333333334,2,undefined,1,0.9,FILL
10,14,56,9.629133333333334,2,undefined,1,0.63,CNPC
11,14,57,9.629133333333334,2,undefined,1,1,SUBJ
12,14,58,9.629133333333334,2,undefined,1,0.84,WH
994,14,59,9.629133333333334,2,undefined,99,0.53,UNGRAM
6,15,60,9.629133333333334,2,undefined,1,0.92,WH
102,15,61,9.629133333333334,2,undefined,1,1,FILL
4,15,62,9.629133333333334,2,undefined,1,0.78,CNPC
5,15,63,9.629133333333334,2,undefined,1,0.86,SUBJ
992,15,64,9.629133333333334,2,undefined,99,1,UNGRAM
practice_good,practice,0,9.589516666666666,3,undefined,practice,0.9,practice_good
practice_bad,practice,0,9.589516666666666,3,undefined,practice,0.25,practice_bad
19,1,1,9.589516666666666,3,undefined,1,0.64,CNPC
107,1,2,9.589516666666666,3,undefined,1,0.31,FILL
20,1,3,9.589516666666666,3,undefined,1,0.69,SUBJ
21,1,4,9.589516666666666,3,undefined,1,0.78,WH
104,2,5,9.589516666666666,3,undefined,1,0.69,FILL
10,2,6,9.589516666666666,3,undefined,1,0.72,CNPC
11,2,7,9.589516666666666,3,undefined,1,0.5,SUBJ
12,2,8,9.589516666666666,3,undefined,1,0.75,WH
994,2,9,9.589516666666666,3,undefined,99,0.75,UNGRAM
25,3,10,9.589516666666666,3,undefined,1,0.76,CNPC
26,3,11,9.589516666666666,3,undefined,1,0.86,SUBJ
109,3,12,9.589516666666666,3,undefined,1,0.71,FILL
27,3,13,9.589516666666666,3,undefined,1,0.4,WH
39,4,14,9.589516666666666,3,undefined,1,0.64,WH
38,4,15,9.589516666666666,3,undefined,1,0.51,SUBJ
37,4,16,9.589516666666666,3,undefined,1,0.67,CNPC
113,4,17,9.589516666666666,3,undefined,1,0.7,FILL
30,5,18,9.589516666666666,3,undefined,1,0.72,WH
28,5,19,9.589516666666666,3,undefined,1,0.71,CNPC
29,5,20,9.589516666666666,3,undefined,1,0.68,SUBJ
110,5,21,9.589516666666666,3,undefined,1,0.65,FILL
105,6,22,9.589516666666666,3,undefined,1,0.38,FILL
14,6,23,9.589516666666666,3,undefined,1,0.69,SUBJ
13,6,24,9.589516666666666,3,undefined,1,0.69,CNPC
15,6,25,9.589516666666666,3,undefined,1,0.87,WH
18,7,26,9.589516666666666,3,undefined,1,0.64,WH
16,7,27,9.589516666666666,3,undefined,1,0.5,CNPC
106,7,28,9.589516666666666,3,undefined,1,0.7,FILL
17,7,29,9.589516666666666,3,undefined,1,0.34,SUBJ
111,8,30,9.589516666666666,3,undefined,1,0.76,FILL
32,8,31,9.589516666666666,3,undefined,1,0.81,SUBJ
31,8,32,9.589516666666666,3,undefined,1,0.6,CNPC
33,8,33,9.589516666666666,3,undefined,1,0.78,WH
112,9,34,9.589516666666666,3,undefined,1,0.74,FILL
35,9,35,9.589516666666666,3,undefined,1,0.32,SUBJ
34,9,36,9.589516666666666,3,undefined,1,0.76,CNPC
36,9,37,9.589516666666666,3,undefined,1,0.66,WH
5,10,38,9.589516666666666,3,undefined,1,0.71,SUBJ
6,10,39,9.589516666666666,3,undefined,1,0.78,WH
4,10,40,9.589516666666666,3,undefined,1,0.66,CNPC
102,10,41,9.589516666666666,3,undefined,1,0.87,FILL
992,10,42,9.589516666666666,3,undefined,99,0.65,UNGRAM
3,11,43,9.589516666666666,3,undefined,1,0.34,WH
101,11,44,9.589516666666666,3,undefined,1,0.8,FILL
2,11,45,9.589516666666666,3,undefined,1,0.77,SUBJ
1,11,46,9.589516666666666,3,undefined,1,0.67,CNPC
991,11,47,9.589516666666666,3,undefined,99,0.76,UNGRAM
23,12,48,9.589516666666666,3,undefined,1,0.76,SUBJ
22,12,49,9.589516666666666,3,undefined,1,0.79,CNPC
108,12,50,9.589516666666666,3,undefined,1,0.7,FILL
24,12,51,9.589516666666666,3,undefined,1,0.82,WH
44,13,52,9.589516666666666,3,undefined,1,0.62,SUBJ
115,13,53,9.589516666666666,3,undefined,1,0.37,FILL
45,13,54,9.589516666666666,3,undefined,1,0.7,WH
43,13,55,9.589516666666666,3,undefined,1,0.37,CNPC
103,14,56,9.589516666666666,3,undefined,1,0.76,FILL
7,14,57,9.589516666666666,3,undefined,1,0.85,CNPC
8,14,58,9.589516666666666,3,undefined,1,0.14,SUBJ
9,14,59,9.589516666666666,3,undefined,1,0.99,WH
993,14,60,9.589516666666666,3,undefined,99,0.72,UNGRAM
114,15,61,9.589516666666666,3,undefined,1,0.72,FILL
42,15,62,9.589516666666666,3,undefined,1,0.82,WH
40,15,63,9.589516666666666,3,undefined,1,0.4,CNPC
41,15,64,9.589516666666666,3,undefined,1,0.76,SUBJ
practice_good,practice,0,9.487416666666666,4,undefined,practice,1,practice_good
practice_bad,practice,0,9.487416666666666,4,undefined,practice,0,practice_bad
41,1,1,9.487416666666666,4,undefined,1,0.12,SUBJ
114,1,2,9.487416666666666,4,undefined,1,0.35,FILL
42,1,3,9.487416666666666,4,undefined,1,0.69,WH
40,1,4,9.487416666666666,4,undefined,1,0.84,CNPC
104,2,5,9.487416666666666,4,undefined,1,1,FILL
12,2,6,9.487416666666666,4,undefined,1,0.13,WH
10,2,7,9.487416666666666,4,undefined,1,0.72,CNPC
11,2,8,9.487416666666666,4,undefined,1,0.22,SUBJ
994,2,9,9.487416666666666,4,undefined,99,0.15,UNGRAM
37,3,10,9.487416666666666,4,undefined,1,0.65,CNPC
39,3,11,9.487416666666666,4,undefined,1,0.82,WH
113,3,12,9.487416666666666,4,undefined,1,0.93,FILL
38,3,13,9.487416666666666,4,undefined,1,0.1,SUBJ
110,4,14,9.487416666666666,4,undefined,1,1,FILL
28,4,15,9.487416666666666,4,undefined,1,0.75,CNPC
29,4,16,9.487416666666666,4,undefined,1,0.09,SUBJ
30,4,17,9.487416666666666,4,undefined,1,0.09,WH
32,5,18,9.487416666666666,4,undefined,1,0.93,SUBJ
111,5,19,9.487416666666666,4,undefined,1,1,FILL
33,5,20,9.487416666666666,4,undefined,1,0.21,WH
31,5,21,9.487416666666666,4,undefined,1,0.91,CNPC
109,6,22,9.487416666666666,4,undefined,1,1,FILL
27,6,23,9.487416666666666,4,undefined,1,0.65,WH
26,6,24,9.487416666666666,4,undefined,1,0.94,SUBJ
25,6,25,9.487416666666666,4,undefined,1,0.56,CNPC
115,7,26,9.487416666666666,4,undefined,1,0.84,FILL
45,7,27,9.487416666666666,4,undefined,1,1,WH
43,7,28,9.487416666666666,4,undefined,1,0.55,CNPC
44,7,29,9.487416666666666,4,undefined,1,0.72,SUBJ
15,8,30,9.487416666666666,4,undefined,1,0.63,WH
14,8,31,9.487416666666666,4,undefined,1,0.07,SUBJ
105,8,32,9.487416666666666,4,undefined,1,1,FILL
13,8,33,9.487416666666666,4,undefined,1,0.74,CNPC
6,9,34,9.487416666666666,4,undefined,1,0.92,WH
102,9,35,9.487416666666666,4,undefined,1,1,FILL
4,9,36,9.487416666666666,4,undefined,1,0.44,CNPC
5,9,37,9.487416666666666,4,undefined,1,0.08,SUBJ
992,9,38,9.487416666666666,4,undefined,99,0.05,UNGRAM
112,10,39,9.487416666666666,4,undefined,1,0.91,FILL
36,10,40,9.487416666666666,4,undefined,1,0.67,WH
35,10,41,9.487416666666666,4,undefined,1,0.33,SUBJ
34,10,42,9.487416666666666,4,undefined,1,0.83,CNPC
24,11,43,9.487416666666666,4,undefined,1,0.7,WH
22,11,44,9.487416666666666,4,undefined,1,0.93,CNPC
23,11,45,9.487416666666666,4,undefined,1,0.69,SUBJ
108,11,46,9.487416666666666,4,undefined,1,1,FILL
19,12,47,9.487416666666666,4,undefined,1,0.74,CNPC
21,12,48,9.487416666666666,4,undefined,1,0.82,WH
107,12,49,9.487416666666666,4,undefined,1,1,FILL
20,12,50,9.487416666666666,4,undefined,1,0.15,SUBJ
18,13,51,9.487416666666666,4,undefined,1,0.8,WH
16,13,52,9.487416666666666,4,undefined,1,0.24,CNPC
106,13,53,9.487416666666666,4,undefined,1,1,FILL
17,13,54,9.487416666666666,4,undefined,1,0.28,SUBJ
1,14,55,9.487416666666666,4,undefined,1,0.94,CNPC
2,14,56,9.487416666666666,4,undefined,1,0.11,SUBJ
101,14,57,9.487416666666666,4,undefined,1,1,FILL
3,14,58,9.487416666666666,4,undefined,1,0.9,WH
991,14,59,9.487416666666666,4,undefined,99,0.1,UNGRAM
7,15,60,9.487416666666666,4,undefined,1,0.9,CNPC
8,15,61,9.487416666666666,4,undefined,1,0.28,SUBJ
9,15,62,9.487416666666666,4,undefined,1,0.8,WH
103,15,63,9.487416666666666,4,undefined,1,0.94,FILL
993,15,64,9.487416666666666,4,undefined,99,0.23,UNGRAM
practice_good,practice,0,10.706033333333334,5,undefined,practice,0.54,practice_good
practice_bad,practice,0,10.706033333333334,5,undefined,practice,0.02,practice_bad
112,1,1,10.706033333333334,5,undefined,1,0.3,FILL
34,1,2,10.706033333333334,5,undefined,1,0.54,CNPC
35,1,3,10.706033333333334,5,undefined,1,0.09,SUBJ
36,1,4,10.706033333333334,5,undefined,1,0.07,WH
25,2,5,10.706033333333334,5,undefined,1,0.15,CNPC
27,2,6,10.706033333333334,5,undefined,1,0.21,WH
109,2,7,10.706033333333334,5,undefined,1,0.59,FILL
26,2,8,10.706033333333334,5,undefined,1,0.07,SUBJ
1,3,9,10.706033333333334,5,undefined,1,0.27,CNPC
101,3,10,10.706033333333334,5,undefined,1,0.7,FILL
2,3,11,10.706033333333334,5,undefined,1,0.24,SUBJ
3,3,12,10.706033333333334,5,undefined,1,0.49,WH
991,3,13,10.706033333333334,5,undefined,99,0.42,UNGRAM
28,4,14,10.706033333333334,5,undefined,1,0.51,CNPC
30,4,15,10.706033333333334,5,undefined,1,0.35,WH
110,4,16,10.706033333333334,5,undefined,1,0.78,FILL
29,4,17,10.706033333333334,5,undefined,1,0,SUBJ
5,5,18,10.706033333333334,5,undefined,1,0.22,SUBJ
4,5,19,10.706033333333334,5,undefined,1,0.23,CNPC
102,5,20,10.706033333333334,5,undefined,1,0.84,FILL
6,5,21,10.706033333333334,5,undefined,1,0.2,WH
992,5,22,10.706033333333334,5,undefined,99,0.32,UNGRAM
20,6,23,10.706033333333334,5,undefined,1,0.35,SUBJ
107,6,24,10.706033333333334,5,undefined,1,0.56,FILL
21,6,25,10.706033333333334,5,undefined,1,0.55,WH
19,6,26,10.706033333333334,5,undefined,1,0.35,CNPC
8,7,27,10.706033333333334,5,undefined,1,0.01,SUBJ
7,7,28,10.706033333333334,5,undefined,1,0.48,CNPC
103,7,29,10.706033333333334,5,undefined,1,0.3,FILL
9,7,30,10.706033333333334,5,undefined,1,0.25,WH
993,7,31,10.706033333333334,5,undefined,99,0.35,UNGRAM
18,8,32,10.706033333333334,5,undefined,1,0.47,WH
106,8,33,10.706033333333334,5,undefined,1,0.57,FILL
16,8,34,10.706033333333334,5,undefined,1,0.36,CNPC
17,8,35,10.706033333333334,5,undefined,1,0.62,SUBJ
15,9,36,10.706033333333334,5,undefined,1,0.33,WH
105,9,37,10.706033333333334,5,undefined,1,0.59,FILL
14,9,38,10.706033333333334,5,undefined,1,0.28,SUBJ
13,9,39,10.706033333333334,5,undefined,1,0.56,CNPC
113,10,40,10.706033333333334,5,undefined,1,0.41,FILL
37,10,41,10.706033333333334,5,undefined,1,0.47,CNPC
38,10,42,10.706033333333334,5,undefined,1,0.09,SUBJ
39,10,43,10.706033333333334,5,undefined,1,0.13,WH
24,11,44,10.706033333333334,5,undefined,1,0.27,WH
23,11,45,10.706033333333334,5,undefined,1,0.32,SUBJ
22,11,46,10.706033333333334,5,undefined,1,0.46,CNPC
108,11,47,10.706033333333334,5,undefined,1,0.42,FILL
44,12,48,10.706033333333334,5,undefined,1,0.28,SUBJ
43,12,49,10.706033333333334,5,undefined,1,0.26,CNPC
45,12,50,10.706033333333334,5,undefined,1,0.5,WH
115,12,51,10.706033333333334,5,undefined,1,0.61,FILL
104,13,52,10.706033333333334,5,undefined,1,0.46,FILL
12,13,53,10.706033333333334,5,undefined,1,0.05,WH
10,13,54,10.706033333333334,5,undefined,1,0.34,CNPC
11,13,55,10.706033333333334,5,undefined,1,0.46,SUBJ
994,13,56,10.706033333333334,5,undefined,99,0.35,UNGRAM
32,14,57,10.706033333333334,5,undefined,1,0.37,SUBJ
33,14,58,10.706033333333334,5,undefined,1,0.47,WH
31,14,59,10.706033333333334,5,undefined,1,0.43,CNPC
111,14,60,10.706033333333334,5,undefined,1,0.51,FILL
42,15,61,10.706033333333334,5,undefined,1,0.46,WH
114,15,62,10.706033333333334,5,undefined,1,0.51,FILL
40,15,63,10.706033333333334,5,undefined,1,0.46,CNPC
41,15,64,10.706033333333334,5,undefined,1,0.51,SUBJ
practice_good,practice,0,10.466533333333333,6,undefined,practice,0.97,practice_good
practice_bad,practice,0,10.466533333333333,6,undefined,practice,0.01,practice_bad
107,1,1,10.466533333333333,6,undefined,1,0.99,FILL
19,1,2,10.466533333333333,6,undefined,1,0.03,CNPC
20,1,3,10.466533333333333,6,undefined,1,0.07,SUBJ
21,1,4,10.466533333333333,6,undefined,1,0.9,WH
104,2,5,10.466533333333333,6,undefined,1,0.97,FILL
10,2,6,10.466533333333333,6,undefined,1,0.04,CNPC
12,2,7,10.466533333333333,6,undefined,1,0.02,WH
11,2,8,10.466533333333333,6,undefined,1,0.02,SUBJ
994,2,9,10.466533333333333,6,undefined,99,0.04,UNGRAM
35,3,10,10.466533333333333,6,undefined,1,0.01,SUBJ
112,3,11,10.466533333333333,6,undefined,1,0.97,FILL
36,3,12,10.466533333333333,6,undefined,1,1,WH
34,3,13,10.466533333333333,6,undefined,1,0.9,CNPC
27,4,14,10.466533333333333,6,undefined,1,0.94,WH
25,4,15,10.466533333333333,6,undefined,1,0.92,CNPC
109,4,16,10.466533333333333,6,undefined,1,0.97,FILL
26,4,17,10.466533333333333,6,undefined,1,0.03,SUBJ
23,5,18,10.466533333333333,6,undefined,1,0.19,SUBJ
22,5,19,10.466533333333333,6,undefined,1,0.11,CNPC
24,5,20,10.466533333333333,6,undefined,1,0.96,WH
108,5,21,10.466533333333333,6,undefined,1,0.97,FILL
103,6,22,10.466533333333333,6,undefined,1,0.92,FILL
7,6,23,10.466533333333333,6,undefined,1,0.07,CNPC
9,6,24,10.466533333333333,6,undefined,1,0.1,WH
8,6,25,10.466533333333333,6,undefined,1,0.35,SUBJ
993,6,26,10.466533333333333,6,undefined,99,0.07,UNGRAM
2,7,27,10.466533333333333,6,undefined,1,0.66,SUBJ
101,7,28,10.466533333333333,6,undefined,1,0.95,FILL
3,7,29,10.466533333333333,6,undefined,1,0.96,WH
1,7,30,10.466533333333333,6,undefined,1,0.11,CNPC
991,7,31,10.466533333333333,6,undefined,99,0.02,UNGRAM
105,8,32,10.466533333333333,6,undefined,1,0.99,FILL
14,8,33,10.466533333333333,6,undefined,1,0.13,SUBJ
15,8,34,10.466533333333333,6,undefined,1,0.96,WH
13,8,35,10.466533333333333,6,undefined,1,0.06,CNPC
29,9,36,10.466533333333333,6,undefined,1,0.86,SUBJ
30,9,37,10.466533333333333,6,undefined,1,0.78,WH
28,9,38,10.466533333333333,6,undefined,1,0.1,CNPC
110,9,39,10.466533333333333,6,undefined,1,0.99,FILL
38,10,40,10.466533333333333,6,undefined,1,0.04,SUBJ
113,10,41,10.466533333333333,6,undefined,1,0.94,FILL
39,10,42,10.466533333333333,6,undefined,1,0.94,WH
37,10,43,10.466533333333333,6,undefined,1,0.14,CNPC
42,11,44,10.466533333333333,6,undefined,1,0.47,WH
41,11,45,10.466533333333333,6,undefined,1,0.31,SUBJ
114,11,46,10.466533333333333,6,undefined,1,0.86,FILL
40,11,47,10.466533333333333,6,undefined,1,0.03,CNPC
32,12,48,10.466533333333333,6,undefined,1,0.21,SUBJ
111,12,49,10.466533333333333,6,undefined,1,0.99,FILL
33,12,50,10.466533333333333,6,undefined,1,0.96,WH
31,12,51,10.466533333333333,6,undefined,1,0.1,CNPC
4,13,52,10.466533333333333,6,undefined,1,0.05,CNPC
102,13,53,10.466533333333333,6,undefined,1,0.99,FILL
5,13,54,10.466533333333333,6,undefined,1,0.93,SUBJ
6,13,55,10.466533333333333,6,undefined,1,0.92,WH
992,13,56,10.466533333333333,6,undefined,99,0.08,UNGRAM
106,14,57,10.466533333333333,6,undefined,1,0.98,FILL
18,14,58,10.466533333333333,6,undefined,1,0.97,WH
17,14,59,10.466533333333333,6,undefined,1,0.86,SUBJ
16,14,60,10.466533333333333,6,undefined,1,0.86,CNPC
44,15,61,10.466533333333333,6,undefined,1,0.91,SUBJ
115,15,62,10.466533333333333,6,undefined,1,0.99,FILL
45,15,63,10.466533333333333,6,undefined,1,0.82,WH
