comments,asses,fairprice,workerid,language,age,problems,gender,education,enjoyment
"The target sentences were often difficult to parse, so after a little while I started reading them first and then referring to the context as necessary.  This is contrary to the instructions but seemed to make it easier to evaluate the targets, which was hopefully the goal.  ",Yes,Yes,118,English,36,No,Male,3,1
None,Yes,3.00,119,English,33,None,Male,2,1
very nice,Yes,3.00,120,English,29,nothing,Male,4,2
,Yes,yes,121,english,22,no,Female,2,1
,Yes,3,122,eng,41,no,Male,2,1
thanks,Yes,3.00,123,English,33,no,Male,3,1
,Yes,3.00,124,English,30,no,Female,3,1
This survey was very well. Thank you.,Yes,3,125,English,27,"Nothing, this experiment was very clearly",Female,2,2
,Yes,3.00,126,english,33,no,Male,2,1
n/a- thanks,Yes,3.00,127,English,38,no,Male,3,1
,Yes,3.00,128,ENGLISH,37,NO,Female,2,1
,Yes,3.00,129,English,56,no,Female,1,1
"great pay, thanks!",Yes,3.00,130,English,35,NONE!,Male,3,2
,Yes,3.00,131,English,30,,Male,1,2
,Yes,3.00,132,english,32,No.,Male,3,1
,Yes,3.00,133,English,38,no,Male,2,2
,Yes,$3.00,134,English,44,No problems,Male,3,1
Thank you,Yes,3,135,English,51,No,Male,3,2
,Yes,3.00,136,English,58,No.,Female,3,2
,Yes,3,137,English,42,no,Female,3,2
,Yes,4.00,138,English,31,No problems,Male,3,1
"Harder than it seems, challenging.",Yes,3.00,139,English,50,none,Female,1,2
,Yes,3.00,140,English,39,No,Female,3,2
,Yes,$3,141,English,58,No problems.,Male,2,0
,Yes,Yes.,142,English,32,No.,Male,4,2
,Yes,yes,143,english,21,,Male,2,1
,Yes,4.00,144,United States,25,,Male,4,1
,Yes,4,145,english,32,no,Female,3,1
,Yes,3.00,146,English,39,no,Female,2,1
,Yes,yes,147,english,23,"
no.",Female,1,2
,Yes,3.00,148,English,39,No,Male,1,1
,Yes,3.00,149,english,42,no,Male,1,1
,Yes,good,150,English,26,Nothing.,Male,3,2
,Yes,3.00,151,English,27,no,Female,0,1
"Very good hit, thanks a lot!",Yes,3.00,152,English,31,No not at all. ,Female,2,2
,Yes,3.00,153,English,36,no,Male,3,2
,Yes,4.00,154,English,30,,Male,3,1
,Yes,3.00,155,English,41,No,Female,1,1
Interesting!,Yes,3,156,English,32,No,Female,3,2
,Yes,3.00,157,english,33,none,Male,1,2
none,Yes,3,158,Chinese,52,no,Female,3,1
,Yes,$3,159,English,72,no,Female,3,1
,Yes,3.00,160,english,33,no,Male,1,1
,Yes,yes,161,English,33,no,Female,2,1
This was very interesting study! ,Yes,3.00,162,English,70,"None...
",Male,3,2
,Yes,,163,,,NO,,-1,-1
good,Yes,3.50,164,English,30,none,Male,3,2
fun hit,Yes,3,165,english,52,no,Male,2,2
,Yes,3.00,166,English,56,,Female,1,1
,Yes,3,167,English,36,No.,Male,0,2
,Yes,no,168,ENGLISH,56,NO,Male,3,1
,Yes,Yes,169,English,26,No,Male,1,1
Thanks and have a great day!,Yes,3.00,170,English,30,Not at all,Female,2,1
"It was certainly a bit confusing.  I said the sentences out loud to try to determine if I could understand them since we weren't focusing on grammar to make decisions.  While many sentences could be understood, there were many I passed that actually didn't sound great.  I hope that that was ok since I passed them based on whether I could still understand them (I figured so long as the sentence could be understood, it could be accepted).",Yes,2.00,171,English,33,,Female,2,1
a welcomed departure from the norm. Thank you,Yes,yes,172,English,36,None,Female,2,2
,Yes,3.00,173,English,23,Nope!,Other,3,1
,Yes,3.00,174,English,40,No.,Female,3,1
,Yes,5,175,english,39,no,Male,2,1
,Yes,3.00,176,English,36,no,Male,3,1
Challenging; good mix of acceptable/unacceptable,Yes,3,177,English,23,No problems,Male,3,2
,Yes,3.00,178,English,28,,Male,2,2
,Yes,3.00,179,English,55,no,Female,2,1
