enjoyment,language,fairprice,comments,workerid,education,age,problems,gender,asses
2,English,3.00,Thanks for the HIT!  I did my best and hope the data is useful!,31,2,45,"Yes, I had one issue.  The first attention check asked who had asked the last question.  The answer was Mary but that wasn't an option.  I selected Iron-Head because that's who I saw on the screen last.  I wasn't sure what to do.",Male,Yes
1,English,3,,32,2,35,no,Male,Yes
2,English,3.00,"The experiment was interesting, I noticed that the characters had consistent grammatical structures. I would love to know what you are studying here!",33,4,23,"There was one typo-- ""treaty"" was spelled ""trety"" in one of Iron-head's questions.",Female,Yes
1,English ,3.00,good ,34,3,30,No,Male,Yes
2,english,1.75,,35,4,53,,Female,Yes
1,english,3,good,36,2,27,no,Male,No
2,english,5,good,37,3,30,no,Male,Yes
1,english,2.00,,38,2,55,No,Male,Yes
2,english,ok,,39,2,55,no,Male,Yes
2,English,9,The survey is okay,40,3,52,No,Male,Yes
1,English,yes,,41,1,65,no,Female,Yes
2,english,3.50,,42,3,33,none,Male,Yes
2,English,3.00,,43,2,51,no,Female,Yes
2,english,$3,very easy survey,44,3,59,no problem,Male,Yes
2,English,$5,N/A,45,2,23,None,Male,Yes
2,English,3,,46,3,62,nnone,Female,Yes
1,ENGLISH,3.00,,47,1,43,no,Male,Yes
2,English,yes,,48,1,34,no,Male,Yes
2,english,3.00,,49,0,31,none,Female,Yes
2,Engliish,4.00,,50,3,29,None,Male,Yes
1,English,4.00,,51,2,34,No,Male,Yes
2,English,3.00,it was a interesting survey,52,2,57,none,Male,Yes
1,English,3.00,,53,2,31,no,Female,Yes
1,Engli8sh,Yes,Very nice task ,54,3,28,No problems in task,Male,Yes
1,english,"
3",,55,4,39,no,Female,Yes
2,English,3.00,"Gregory was always acceptable, Iron-Head was always unacceptable, and Jessy was always in the middle.",56,2,21,No.,Male,Yes
2,English,2.50,I felt like Jessy got a little better over time and Thomas slowly got worse.  The robot was a dummy the whole time though.  I'd also appreciate it if you wouldn't embed the studies directly on Mturk.  It can occasionally cause problems when submitting.  Thanks!,57,3,36,None on my end.,Male,Yes
1,English,2.00,That you add character to see if I was paying attention ,58,2,38,There was no problems on this experiment.,Female,Yes
1,english,3.5,,59,3,32,no,Female,Yes
0,English,4.00,,60,1,43,no,Male,Yes
1,English,yes,,61,3,36,NA,Male,Yes
2,english,3,,62,3,45,no,Male,Yes
2,english,3.00,no comments,63,3,29,no ,Male,Yes
1,english,3.00,,64,3,34,no,Female,Yes
2,English,3.00,,65,2,59,no,Male,Yes
2,english,3.00,i have none,66,2,30,no,Female,Yes
2,english,3,,67,3,25,,Female,Yes
0,English,4.00,Decrease or remove the attention checks. ,68,3,33,"No, but the attention checks were detrimental to the study itself. They were annoying and interrupted work flow. ",Male,Yes
2,English,3.00,"noted several incorrect spellings throughout -- mainly Robot-Head, (so prob deliberate).",69,2,68,no,Female,Yes
0,english,good,good ,70,3,36,no,Male,No
2,English,$3,"pays well, works well, good hit",71,3,32,i mixed up the names early ,Male,Yes
1,English,3,,72,2,28,no,Male,Yes
1,English,1.25,This was fun,73,2,36,none,Female,Yes
2,english,very good,none,74,3,28,no,Male,Yes
2,English,3,"thanks, tried my best and loved the hit",75,1,56,no,Female,Yes
2,English,YES!!,Great survey!!! Thank you!!,76,3,22,N/A very fun thank you!!,Male,Yes
2,English,3.00,,77,2,35,No,Female,Yes
2,English and Arabic ,Fair,,78,1,38,No,Female,Yes
2,english,3.00,,79,3,22,no,Male,Yes
2,English,it's okay,"thanks, appreciated.",80,2,34,none,Male,Yes
2,English,3.00,,81,4,52,No,Male,Yes
2,English,1.50,I think I missed one of the questions about who the last person to ask a question was.,82,2,43,No problems.,Male,Yes
2,English,,,83,3,47,No,Male,Yes
2,English,3,No comments. Thank you,84,2,40,No issues,Male,Yes
1,ENGLISH,3,,85,3,24,,Male,Yes
1,English,3,,86,3,39,None,Male,Yes
2,English,Yes,I feel the pay is more than fair and I greatly appreciate it. ,87,1,41,No,Female,Yes
2,english,3.00,,88,1,28,no issues,Male,Yes
1,English,3.00,n/a,89,2,37,no,Female,Yes
2,English,5,Nice task,90,4,28,No,Male,Yes
2,English,3,,91,3,26,,Female,Yes
2,English,3,,92,3,34,No,Male,Yes
1,english,3,,93,2,38,no,Male,Yes
1,English,56,good survey,94,3,49,NA,Male,Yes
2,English,5,,95,3,31,NO,Male,Yes
2,English,3.00,none,96,3,37,none,Female,Yes
2,English,$3,,97,4,29,no,Female,Yes
2,English,3,It was different and fun to try this HIT.,98,3,27,I experienced no problems,Male,Yes
2,English,yes,"Thanks, I usually enjoy English language HITs and this one was no exception. ",99,3,61,No.,Female,Yes
1,english,3.50,,100,3,52,,Male,Yes
1,English,3.00,None,101,3,47,None that I noticed,Female,Yes
2,English,3.00,good,102,3,28,no,Male,No
2,English,3,"Nice survey,I understood the experiment better after repetitive samples,at the end it seemed to be more than simple.",103,3,26,none,Male,Yes
1,english,3,fine,104,2,40,no,Male,Yes
2,English,3,,105,2,29,None,Male,Yes
2,English,3.00,"It was fun, interesting and great pay.",106,1,34,None,Male,Yes
2,English,3,good,107,3,30,No,Male,Yes
2,english,3.00,,108,0,28,,Female,Yes
1,english,3.00,,109,3,33,no,Male,Yes
2,English,3,,110,3,33,,Male,Yes
1,English,3.00,,111,-1,36,,Female,Yes
2,english,3.00,nice experiment,112,4,28,none,Female,Yes
2,ENGLISH,3,Good experiment,113,3,31,No problems found,Male,Yes
1,English,3.50,Hit ran smoothly. Thanks for the opportunity.,114,2,69,No problems or bugs during the experiment. ,Female,Yes
2,english,3,,115,3,51,no,Female,Yes
1,English,3.50,,116,2,48,no,Male,Yes
1,eng,5,,117,0,77,,Male,Confused
2,english,3.00,creative and different from usual hits,118,3,45,no problems,Male,Yes
1,English,yes,,119,1,56,no,Male,Yes
2,English,3.50,It was enlightening and interesting ,120,3,31,No,Male,Yes
2,English,3.00,None,121,2,33,None,Male,Yes
2,English,yes,,122,2,49,"Everything ran fine, I didn't have any technical problems. Some of the sentences are hard to read, so I had to read them several times to really comprehend what was being said, but I think that was the point in the wording.",Male,Yes
2,English,3.00,No comments. ,123,2,47,no bugs. ,Male,Yes
2,English,3.00,Interesting & enjoyable,124,3,51,no,Female,Yes
2,english,4.00,,125,3,37,,Female,Yes
1,English,3.00,"Some of the questions asked where phrased weird, but the instructions and understanding was clear of what to do.  Decent pay as well.",126,3,36,No,Male,Yes
2,English,No fair,,127,3,47,no,Male,Yes
2,English,3.00,,128,2,60,No,Male,Yes
2,English,3.00,,129,4,50,none,Female,Yes
2,English,3,thanks,130,3,37,no problems,Male,Yes
2,English,3,I appreciate it!,131,1,28,there was not.,Male,Yes
2,English,$3,None.,132,3,26,Nope.,Female,Yes
2,English,4.00,,133,3,31,I did not experience any problems or bugs.,Male,Yes
2,English,3,,134,1,31,n/a,Male,Yes
2,,yes,happy to participate,135,1,44,none,Male,Yes
1,English,4.00,,136,2,35,,Male,Yes
2,English,$3,No comment.,137,3,30,No,Female,Yes
2,English,4,I would love to do this experiment again. Thank you.,138,3,27,Nope!,Female,Yes
2,English,Yes,,139,2,31,N/A,Male,Yes
2,English,3.00,,140,3,25,None,Male,Yes
2,English,4,Good,141,3,30,no,Female,Yes
2,Italian,3,,142,2,42,NONE,Female,Yes
2,English,3.00,,143,4,34,None.,Male,Yes
2,English,3.00,It was pretty fun and a bit hilarious at times. I enjoyed it.,144,1,39,none,Male,Yes
2,ENGLISH ,3.50,Nice experiment. ,145,2,27,NONE,Male,Yes
2,English,3,,146,3,40,no,Male,Yes
2,English,3.00,,147,3,29,no,Male,Yes
2,English,50,very interesting,148,4,34,NO,Female,Yes
2,english,3.00,,149,3,35,no,Male,Yes
2,English,3,,150,2,27,,Male,Yes
1,English,Yes,N/A,151,2,60,No Ran smoothly,Female,No
2,english,3,eassy and useful servey ,18,3,44,no,Female,Yes
2,English,4,,152,2,33,No,Female,Yes
2,English,No,Nice,153,3,46,No,Female,Yes
2,English,yes,,154,3,36,no,Female,Yes
2,English,3,,155,2,31,No,Female,Yes
2,English,3.00,Iron Head needs a new language circuit.,156,3,41,No,Female,Yes
2,English,3,"Great Hit, Thank You !",157,2,38,no,Male,Yes
2,English,good,none,158,3,29,no,Female,Yes
2,English,3.00,Very enjoyable task!  Thank you!,159,3,42,No,Female,Yes
2,English,3.00,,160,3,44,no,Female,Yes
2,English,3.00,,161,2,26,,Female,Yes
2,English,3.00,,162,2,54,no,Male,Yes
2,English,3.00,,163,2,55,no,Male,Yes
2,enlish,3.00,,164,2,60,no,Male,Yes
2,english,1.80,none,165,1,26,none,Male,Yes
2,English,,,166,3,29,,Other,Yes
2,english,3.00,none,167,3,40,no,Female,Yes
2,English,300,none,168,3,35,no,Female,Yes
2,English,4.00,,169,3,28,No,Male,Yes
1,English,yes,,170,3,60,no,Female,Yes
2,Bengali,$4.5,It was nice to include the question about the fair price.,171,3,26,"None I encountered, no.",Male,Yes
2,English,3.00,,172,3,29,,Male,Yes
2,English,$3,"I really enjoyed this HIT. Thank you for designing an easy-to-use interface, and for paying well!",173,4,25,"No, everything ran smoothly. ",Female,Yes
2,English,3.00,"It was an interesting task, thanks.",174,4,28,"No problems, thanks.",Female,Yes
1,English,3.00,"it was fun, clear and concise ",175,3,34,none,Female,Yes
2,english,no,like,176,3,47,no,Female,Yes
2,english,3.00,nice experiment,177,4,28,none,Female,Yes
2,English,3.00,,178,3,30,No problems,Male,Yes
1,English,3.00,Thank you,179,2,36,no,Male,Yes
2,English,Yes it was definitely fair.,"I hope my input helps. There seemed to be a pattern for the most part on who constructed the most natural sentences, but I noticed it flipped at the end between the two girls. Thanks you!",180,1,28,None at all,Male,Yes
2,english,3,no comments ,18,3,44,no,Female,Yes
2,English,3.00,,181,1,27,,Male,Yes
2,English,3,I really enjoyed your HIT! Thank you!,182,1,18,None,Female,Yes
2,English,3.00,fun,183,3,45,no,Female,Yes
2,English,3.00,Fun and enjoyable,184,3,55,no problems,Female,Yes
2,English,3.00,,185,3,48,no,Female,Yes
1,English,3,,186,1,29,no,Female,Yes
2,english,3,I like how you swapped Emily and Greg's syntax 3/4 of the way through! ,187,3,47,none at all,Male,Yes
2,english,yes!!!,"Mentally demanding, my eyes got tired, but very generous pay. Thank you!",188,4,32,,Female,Yes
1,english,nice work,good,189,4,34,no,Male,Yes
2,English,3.00,good,190,4,29,NO PROBLEMS,Male,No
0,english,3,good,191,3,24,no,Male,Yes
1,English,Yes,"I got a couple of the names confused at first, but corrected myself on the later attention checks. I would have preferred to not have to click to get each statement, but otherwise pretty good hit.",192,1,37,No,Male,Yes
2,english,3.00,Thank you,193,3,55,no,Female,Yes
2,English,3.00,,194,1,28,No issues,Male,Yes
2,English,3.00,,195,3,34,No problems,Male,Yes
2,English,3.00,none,196,3,44,none,Female,Yes
2,english,3,no comments ,18,3,44,no,Female,Yes
2,ENGLISH,3.00,NONE,197,3,30,NOTHING,Male,Yes
2,ENGLISH,3.00,NICE,198,3,27,NO PROBLEMS,Male,Yes
2,English,3,Nice survey,199,3,59,no,Female,Yes
2,English,3.00,,200,3,33,No,Male,Yes
2,english,3.00,"I had fun, thanks.",201,3,33,no,Male,Yes
2,English,3.00,It was interesting.,202,1,37,No.,Male,Yes
2,English,4,thank you!,203,3,41,no,Male,Yes
1,English,yes,,204,3,43,No bugs or issues.,Female,Yes
2,English,3.00,,205,2,27,No,Female,Yes
2,english,3,"none, thanks",206,3,43,none,Male,Yes
1,English,kind of,no comments,207,3,52,no,Female,Yes
2,English,,,208,3,27,,Male,Yes
2,English,3.00,,209,1,25,No issues.,Male,Yes
2,english,3,nice,210,3,28,no,Male,Yes
2,English,$3,,211,4,35,No,Male,Yes
2,English,3.50,It was an interesting study.,212,3,38,No,Female,Yes
1,English,3,No comment.,213,3,36,No,Female,Yes
2,english,3.00,thank you,214,1,62,no,Female,Yes
2,english,3,eassy servey,18,3,44,no,Female,Yes
2,Emglish,4.00,The english language is realtively hard compared to other languages,215,3,70,No,Male,No
2,English,3.00,The robot never seemed to ask any good questions and were hard to understand.,216,3,39,No.,Female,Yes
1,English,4,None.,217,3,38,None,Male,Yes
2,English,2,It was a fun hit.,218,3,33,no issues,Male,Yes
2,English,3,"This was fun! The only thing that threw me off was the first speaker check question, before the actual experiment started. I picked iron-head because he was the last introduced, but he didn't particularly ask a question. Not sure if that was an attention check question, but I hope that was right. Thanks for the opportunity!",219,2,30,None,Female,Yes
1,English,3.50,,220,3,24,No,Male,Yes
2,ENGLISH,3,,221,1,33,no,Male,Yes
2,english,$3.00,good.,222,3,29,no problems,Male,Yes
1,English,3.75,,223,3,29,No,Female,Yes
1,English,3.00,,224,2,35,none thank you,Male,Yes
2,English,3.00,Thanks!,225,3,36,no,Male,Yes
2,English,3,nice,226,3,26,no,Male,Yes
2,Enlgish,3.00,,227,4,39,no problems,Female,Yes
1,English,3.00,,228,4,30,No,Female,Yes
2,English,3.00,The experiment was very interesting and kept me focused throughout the entire task. Keep up the good work!,229,3,39,There were no problems or bugs in the experiment.,Female,Yes
2,English ,3,,230,3,25,no,Male,Yes
2,English,99,Very likable and intelligent,231,3,42,No,Male,Yes
2,English,2.50,,232,3,40,no,Female,Yes
1,English,3,good,233,4,35,no,Male,Confused
1,English,3.00,no comments thank you ,234,3,46,no,Female,Yes
2,english,3,,235,1,26,no,Female,Yes
2,English,3.00,,236,1,37,no,Female,Yes
1,English,5.00,,237,3,29,No,Male,No
2,English,3.50,"The people were pretty consistent, it would have good to see more variety among their language strengths",238,3,31,None,Male,Yes
2,English,3$,,239,1,21,none AFAIK,Male,Yes
-1,,,,240,-1,,,,
1,English,90,very interesting and excellent,241,3,39,no,Male,Yes
2,English,3,very interesting in this survey ,242,3,33,No,Male,Yes
1,English,3,,243,3,52,none,Female,Yes
2,english,3.00,,244,3,21,,Female,Yes
2,english,3.50,,245,2,28,nope,Male,Yes
2,English ,GOODNESS,NONE,246,3,30,NO,Male,Yes
1,English,5,,247,2,36,,Male,Yes
2,English,3,none,248,3,55,no,Female,Yes
2,English,3,good,249,3,30,no,Male,Yes
2,English,3,i like this study,250,4,31,nothing,Male,Yes
2,English,3,,251,2,46,n0,Male,Yes
1,English,3.00,,252,3,33,no,Male,Yes
1,english,3.00,,253,1,28,no,Female,Yes
2,english,very nice,good survey,254,3,30,good,Male,Yes
1,English,3,,255,4,28,no issues,Male,Yes
1,English,4,It's fine,256,3,35,no,Female,Yes
1,English,3.00,none,257,3,58,no,Male,Yes
0,english,20,none,258,3,30,no,Male,Yes
2,English,$3,Thank you!  Interesting HIT,259,3,21,No,Male,Yes
2,English,4.00,,260,3,36,No problems.,Male,Yes
0,yes,nothing,interesting,261,2,55,"no, good",Male,Yes
1,English,4,none,262,2,40,no,Female,Yes
1,English,yes,,263,2,26,No issues at all.,Female,Yes
2,english,3.00,,264,3,25,no problems!,Male,Yes
2,English,10,GOOD,265,4,30,NOTHING,Male,Yes
1,English,50000,Good ,266,3,32,Nothing ,Male,Yes
2,English,3,,267,2,52,no problems whatsoever,Male,Yes
0,English,4.00,,268,3,58,no,Female,No
2,English,3.00,Very good ,269,4,30,No,Male,Yes
1,English,3,,270,3,29,,Female,No
1,english,3,,271,3,35,no,Female,Yes
2,English,3.00,None to note.,272,1,25,Nope,Male,Yes
2,english,3,good,273,3,30,nothing,Male,No
1,English ,3,great study ,274,3,30,nothing ,Male,Yes
2,English ,3,good study ,275,3,32,no,Male,Yes
2,English,,,127,3,47,No,Male,Yes
1,English,3.00,,276,1,47,no issues,Male,Yes
1,"English,Croatian",3,interesting!,277,1,31,no,Male,Yes
1,English,good,good,278,4,30,no,Male,Yes
2,English,3,You should add more time to the clock for slow readers. Thank you!,279,1,37,No problems,Female,Yes
2,English,65000,very interesting this survey,280,3,34,no,Male,Yes
1,English,3.00,,281,2,26,none,Male,Yes
2,English,2.50,I liked Iron-head. He made the HIT more interesting and his sentences were funny to read. Thanks for the enjoyable survey!,282,4,40,None at all. Everything worked well.,Male,Yes
1,English,3,Everything was clear so far.,283,3,32,There were no problems.,Male,Yes
2,English,5.00,none,284,3,24,no,Female,Yes
1,English,yes,,285,3,37,no,Female,Yes
2,English,4.00,"It was fun but it might be better to vary the types of questions so that it's not predictable how each character's question will be rated. Foe example, let IronHead ask at least one intelligible question.",286,4,53,no,Male,Yes
1,English,5.00,None.,287,3,33,No.,Female,Yes
1,english,3.50,,288,3,41,no,Female,Yes
2,english,3.00,Super interesting and engaging!,289,4,27,,Female,Yes
1,English,4.00,,237,3,29,No,Male,Yes
1,English,,,290,3,51,,Male,Yes
2,English,3,well done,291,3,35,NO,Female,Yes
2,English,6.00,good,292,3,30,no,Male,Yes
1,English,3,Good,293,3,50,There are no problems.,Female,Yes
2,ENGLISH,,GREAT,294,3,30,NO,Male,No
1,English,3,Good experiment,295,3,30,No problem,Male,Yes
1,English,3.00,,296,2,38,No,Male,Yes
2,english,3.00,,297,3,36,no,Male,Yes
2,English,The current pay is fair,,298,3,31,none,Female,Yes
2,english,yes,None.,299,2,44,No.,Male,Yes
2,English,3.00,Thank you for providing an interesting HIT at great pay.,300,2,48,No,Female,Yes
2,"English, Spanish",Yes!,Thanks! But all of the robot's target sentences made no sense. It would have been fun to mix those up a bit more.,301,3,43,None.,Female,Yes
2,English ,3,good,302,3,45,nothing,Male,Yes
1,English,4.00,Great experiment!,303,2,31,No,Male,Yes
2,English,3.00,,304,3,45,None,Female,Yes
-1,English,,The amount of attention checks seemed really excessive.,305,3,26,No,Male,Yes
1,English,Very useful.,Its very interesting survey.,306,3,33,No,Male,Yes
2,English,3,"I could understand everything Jessy said, some of what Thomas said and nearly nothing Iron-head said. ",307,2,68,none I saw,Male,Yes
1,English,3.00,The experiment was stimulating and fun. I actually enjoyed it.,308,2,39,No. None.,Female,Yes
2,English,yes,Great hit!,309,3,32,,Female,Yes
2,english,very useful,very interesting,310,4,35,none,Male,Yes
2,ENGLISH,3,good,311,3,30,no,Male,Yes
2,english,3,nocomments,18,3,44,no,Female,Yes
2,english,3.00,where did the other people go?,312,3,52,none,Female,Yes
1,English,yes,,313,2,62,No,Female,Yes
2,English,3.00,Thomas made me feel all jumbled!,314,3,36,no,Female,Yes
1,English,3.00,,315,2,35,no,Female,Yes
2,English,3,i like this study,316,3,31,nothing,Male,Yes
2,english,3.00,,317,2,41,none,Female,Yes
2,ENGLISH,$3,NO COMMENTS,44,3,59,no problem,Male,Yes
2,English,3,Thank you for the opportunity,318,2,36,"No bugs. I did accidentally click on gregory on one of the ""who was the last person to ask?"" 

My apologies",Male,Yes
1,English,3,it seems gregory and thomas swap places with each other,319,3,26,no,Male,Yes
2,english,3,,320,3,22,no,Female,Yes
1,English,4,,321,3,26,none,Male,Yes
2,NEW YORK,,NICE,322,3,29,  NO PROBLEMS,Male,Yes
2,english,$3,no comments,44,3,59,no problem,Male,Yes
2,English,3.00,none,323,2,56,none,Female,Yes
2,English,3,Interesting and fun,324,3,35,None,Female,Yes
1,english,5.00,,325,3,25,no,Male,Yes
2,english,this is fair,,326,2,24,none,Female,Yes
2,English,3.5,,327,2,34,None,Female,Yes
2,English,3.00,,328,2,25,No.,Female,Yes
2,English,3.00,very nice and good experiment.,329,3,30,No,Male,Yes
1,English,3,Sentences seemed pretty consistent so did not feel confident using a wide spectrum of the scale; two-thirds of the sentences were either extremely clear or complete gibberish.,330,3,37,No bugs thanks,Male,Yes
2,English,3.00,"Nope, thank you for letting me take this!",331,3,29,"Nope, it all worked fine for me!",Male,Yes
1,english,10,thank you,332,4,30,no,Male,Yes
2,english,$3,very easy survey,44,3,59,no problem,Male,Yes
2,English,Any price ,,333,4,32,Nothing,Male,Yes
1,English,$3,,334,2,29,no,Male,Yes
2,English,3.00,"Very fun and different HIT, very fluid and well put together.",335,1,29,There were not any problems or bugs.,Male,Yes
2,English,3.00,no comment,336,2,30,no,Female,Yes
2,English,3 dollars,,337,3,34,no problems or bugs.,Male,Yes
1,english,3.00,ty will leave positive feedback once approved.,338,1,34,na,Male,Yes
2,english,3.00,,339,2,57,No problems.,Male,Yes
2,English,3.00,,340,3,32,None,Male,Yes
2,English,Yes.,Thanks!!,341,3,33,I don't think so.,Male,Yes
2,English,3.00,I love this type of HIT. I enjoy the English language immensely. Thanks for posting! ,342,3,48,"No, everything worked well.",Female,Yes
2,English,$3.00,,343,1,33,I noticed no problems during the experiment.,Female,Yes
2,English,3.00,I like the robot.,344,2,33,"No, it was fine.",Male,No
2,English,3.50,"no comments, but thank you!",345,3,61,"none, thank you.",Female,Yes
2,English,Yes,"No comments, but thank you.",346,3,39,I did not encounter any problems or bugs. ,Male,Yes
2,english,3,nocomments,18,3,44,no,Female,Yes
2,English,yes,,347,3,51,no,Female,Yes
2,English,3.00,,17,3,33,No problems,Male,Yes
