"Answer.time_in_minutes","block_sequence","workerid","response","trial_sequence_total","Answer.condition","condition","first_response_value","wrong_attempts","list_number","item_number"
14.3534333333333,2,2,0.84,64,"undefined","FILL",NA,NA,"1","118"
14.3534333333333,2,2,0.23,65,"undefined","WH",NA,NA,"1","9"
14.3534333333333,2,2,0.82,66,"undefined","FILL",NA,NA,"1","103"
14.3534333333333,2,2,0.24,67,"undefined","UNGRAM",NA,NA,"99","993"
14.3534333333333,2,2,0.85,68,"undefined","FILL",NA,NA,"99","993"
14.3534333333333,3,2,0.8,69,"undefined","FILL",NA,NA,"1","144"
14.3534333333333,3,2,0.87,70,"undefined","CNPC",NA,NA,"1","40"
14.3534333333333,3,2,0.8,71,"undefined","FILL",NA,NA,"1","114"
14.3534333333333,3,2,0.89,72,"undefined","FILL",NA,NA,"1","129"
14.3534333333333,3,2,0.17,73,"undefined","SUBJ",NA,NA,"1","41"
14.3534333333333,3,2,0.26,74,"undefined","WH",NA,NA,"1","42"
14.3534333333333,4,2,0.74,75,"undefined","WH",NA,NA,"1","18"
14.3534333333333,4,2,0.93,76,"undefined","FILL",NA,NA,"1","136"
14.3534333333333,4,2,0.92,77,"undefined","FILL",NA,NA,"1","121"
14.3534333333333,4,2,0.72,78,"undefined","FILL",NA,NA,"1","106"
14.3534333333333,4,2,0.26,79,"undefined","SUBJ",NA,NA,"1","17"
14.3534333333333,4,2,0.24,80,"undefined","CNPC",NA,NA,"1","16"
14.3534333333333,5,2,0.92,81,"undefined","FILL",NA,NA,"1","111"
14.3534333333333,5,2,0.87,82,"undefined","FILL",NA,NA,"1","126"
14.3534333333333,5,2,0.19,83,"undefined","SUBJ",NA,NA,"1","32"
14.3534333333333,5,2,0.92,84,"undefined","FILL",NA,NA,"1","141"
14.3534333333333,5,2,0.29,85,"undefined","CNPC",NA,NA,"1","31"
14.3534333333333,5,2,0.25,86,"undefined","WH",NA,NA,"1","33"
14.3534333333333,6,2,0.3,87,"undefined","WH",NA,NA,"1","30"
14.3534333333333,6,2,0.86,88,"undefined","FILL",NA,NA,"1","110"
14.3534333333333,6,2,0.82,89,"undefined","FILL",NA,NA,"1","140"
14.3534333333333,6,2,0.85,90,"undefined","FILL",NA,NA,"1","125"
14.3534333333333,6,2,0.81,91,"undefined","CNPC",NA,NA,"1","28"
14.3534333333333,6,2,0.85,92,"undefined","SUBJ",NA,NA,"1","29"
14.3534333333333,7,2,0.27,93,"undefined","WH",NA,NA,"1","27"
14.3534333333333,7,2,0.73,94,"undefined","SUBJ",NA,NA,"1","26"
14.3534333333333,7,2,0.74,95,"undefined","CNPC",NA,NA,"1","25"
14.3534333333333,7,2,0.81,96,"undefined","FILL",NA,NA,"1","124"
14.3534333333333,7,2,0.83,97,"undefined","FILL",NA,NA,"1","109"
14.3534333333333,7,2,0.81,98,"undefined","FILL",NA,NA,"1","139"
18.7696,1,3,0.97,1,"undefined","FILL",NA,NA,"1","127"
18.7696,1,3,0.78,2,"undefined","WH",NA,NA,"1","36"
18.7696,1,3,0.98,3,"undefined","FILL",NA,NA,"1","142"
18.7696,1,3,0.99,4,"undefined","FILL",NA,NA,"1","112"
18.7696,1,3,0.67,5,"undefined","CNPC",NA,NA,"1","34"
18.7696,1,3,0.72,6,"undefined","SUBJ",NA,NA,"1","35"
18.7696,8,3,0.5,7,"undefined","SUBJ",NA,NA,"1","11"
18.7696,8,3,0.75,8,"undefined","FILL",NA,NA,"1","104"
18.7696,8,3,0.97,9,"undefined","FILL",NA,NA,"1","134"
18.7696,8,3,0.37,10,"undefined","CNPC",NA,NA,"1","10"
18.7696,8,3,0.99,11,"undefined","FILL",NA,NA,"1","119"
18.7696,8,3,0.66,12,"undefined","WH",NA,NA,"1","12"
18.7696,8,3,0.03,13,"undefined","UNGRAM",NA,NA,"99","994"
18.7696,8,3,0.97,14,"undefined","FILL",NA,NA,"99","994"
18.7696,9,3,0.99,15,"undefined","FILL",NA,NA,"1","116"
18.7696,9,3,0.6,16,"undefined","CNPC",NA,NA,"1","1"
18.7696,9,3,0.71,17,"undefined","WH",NA,NA,"1","3"
18.7696,9,3,0.4,18,"undefined","SUBJ",NA,NA,"1","2"
18.7696,9,3,0.86,19,"undefined","FILL",NA,NA,"1","101"
18.7696,9,3,0.99,20,"undefined","FILL",NA,NA,"1","131"
18.7696,9,3,0,21,"undefined","UNGRAM",NA,NA,"99","991"
18.7696,9,3,0.96,22,"undefined","FILL",NA,NA,"99","991"
18.7696,10,3,0.05,23,"undefined","SUBJ",NA,NA,"1","23"
18.7696,10,3,0.54,24,"undefined","CNPC",NA,NA,"1","22"
18.7696,10,3,0.96,25,"undefined","FILL",NA,NA,"1","123"
18.7696,10,3,0.98,26,"undefined","FILL",NA,NA,"1","108"
18.7696,10,3,0.5,27,"undefined","WH",NA,NA,"1","24"
18.7696,10,3,0.98,28,"undefined","FILL",NA,NA,"1","138"
18.7696,11,3,0.61,29,"undefined","WH",NA,NA,"1","21"
18.7696,11,3,0.99,30,"undefined","FILL",NA,NA,"1","137"
18.7696,11,3,0.98,31,"undefined","FILL",NA,NA,"1","107"
18.7696,11,3,0.01,32,"undefined","SUBJ",NA,NA,"1","20"
18.7696,11,3,0.97,33,"undefined","FILL",NA,NA,"1","122"
18.7696,11,3,0.53,34,"undefined","CNPC",NA,NA,"1","19"
18.7696,12,3,0.97,35,"undefined","FILL",NA,NA,"1","120"
18.7696,12,3,0.62,36,"undefined","SUBJ",NA,NA,"1","14"
18.7696,12,3,0.66,37,"undefined","CNPC",NA,NA,"1","13"
18.7696,12,3,0.97,38,"undefined","WH",NA,NA,"1","15"
18.7696,12,3,0.99,39,"undefined","FILL",NA,NA,"1","105"
18.7696,12,3,0.97,40,"undefined","FILL",NA,NA,"1","135"
18.7696,13,3,0.98,41,"undefined","FILL",NA,NA,"1","140"
18.7696,13,3,0.99,42,"undefined","FILL",NA,NA,"1","110"
18.7696,13,3,0.73,43,"undefined","WH",NA,NA,"1","30"
18.7696,13,3,0.98,44,"undefined","FILL",NA,NA,"1","125"
18.7696,13,3,0.78,45,"undefined","CNPC",NA,NA,"1","28"
18.7696,13,3,0.81,46,"undefined","SUBJ",NA,NA,"1","29"
18.7696,14,3,0.98,47,"undefined","FILL",NA,NA,"1","132"
18.7696,14,3,0.98,48,"undefined","FILL",NA,NA,"1","117"
18.7696,14,3,0.58,49,"undefined","SUBJ",NA,NA,"1","5"
18.7696,14,3,0.99,50,"undefined","FILL",NA,NA,"1","102"
18.7696,14,3,0.79,51,"undefined","CNPC",NA,NA,"1","4"
18.7696,14,3,0.84,52,"undefined","WH",NA,NA,"1","6"
18.7696,14,3,0,53,"undefined","UNGRAM",NA,NA,"99","992"
18.7696,14,3,0.99,54,"undefined","FILL",NA,NA,"99","992"
18.7696,15,3,0.97,55,"undefined","FILL",NA,NA,"1","129"
18.7696,15,3,0.97,56,"undefined","FILL",NA,NA,"1","114"
18.7696,15,3,0.98,57,"undefined","WH",NA,NA,"1","42"
18.7696,15,3,0.82,58,"undefined","CNPC",NA,NA,"1","40"
18.7696,15,3,0.53,59,"undefined","SUBJ",NA,NA,"1","41"
18.7696,15,3,0.98,60,"undefined","FILL",NA,NA,"1","144"
18.7696,2,3,0.97,61,"undefined","FILL",NA,NA,"1","118"
18.7696,2,3,0.4,62,"undefined","SUBJ",NA,NA,"1","8"
18.7696,2,3,0.8,63,"undefined","FILL",NA,NA,"1","103"
18.7696,2,3,0.98,64,"undefined","WH",NA,NA,"1","9"
18.7696,2,3,0.45,65,"undefined","CNPC",NA,NA,"1","7"
18.7696,2,3,0.98,66,"undefined","FILL",NA,NA,"1","133"
18.7696,2,3,0.02,67,"undefined","UNGRAM",NA,NA,"99","993"
18.7696,2,3,0.97,68,"undefined","FILL",NA,NA,"99","993"
18.7696,3,3,0.96,69,"undefined","WH",NA,NA,"1","18"
18.7696,3,3,0.98,70,"undefined","FILL",NA,NA,"1","136"
18.7696,3,3,0.98,71,"undefined","FILL",NA,NA,"1","121"
18.7696,3,3,0.96,72,"undefined","FILL",NA,NA,"1","106"
18.7696,3,3,0.97,73,"undefined","CNPC",NA,NA,"1","16"
18.7696,3,3,0.55,74,"undefined","SUBJ",NA,NA,"1","17"
18.7696,4,3,0.97,75,"undefined","FILL",NA,NA,"1","128"
18.7696,4,3,0.6,76,"undefined","WH",NA,NA,"1","39"
18.7696,4,3,0.73,77,"undefined","SUBJ",NA,NA,"1","38"
18.7696,4,3,0.97,78,"undefined","FILL",NA,NA,"1","143"
18.7696,4,3,0.65,79,"undefined","CNPC",NA,NA,"1","37"
18.7696,4,3,0.98,80,"undefined","FILL",NA,NA,"1","113"
18.7696,5,3,0.99,81,"undefined","FILL",NA,NA,"1","115"
18.7696,5,3,0.33,82,"undefined","SUBJ",NA,NA,"1","44"
18.7696,5,3,1,83,"undefined","WH",NA,NA,"1","45"
18.7696,5,3,0.98,84,"undefined","FILL",NA,NA,"1","145"
18.7696,5,3,0.97,85,"undefined","FILL",NA,NA,"1","130"
18.7696,5,3,0.95,86,"undefined","CNPC",NA,NA,"1","43"
18.7696,6,3,0.98,87,"undefined","SUBJ",NA,NA,"1","26"
18.7696,6,3,0.98,88,"undefined","CNPC",NA,NA,"1","25"
18.7696,6,3,0.98,89,"undefined","FILL",NA,NA,"1","124"
18.7696,6,3,0.98,90,"undefined","FILL",NA,NA,"1","139"
18.7696,6,3,0.98,91,"undefined","FILL",NA,NA,"1","109"
18.7696,6,3,0.99,92,"undefined","WH",NA,NA,"1","27"
18.7696,7,3,0.97,93,"undefined","FILL",NA,NA,"1","141"
18.7696,7,3,0.84,94,"undefined","FILL",NA,NA,"1","126"
18.7696,7,3,0.24,95,"undefined","SUBJ",NA,NA,"1","32"
18.7696,7,3,0.99,96,"undefined","FILL",NA,NA,"1","111"
18.7696,7,3,0.85,97,"undefined","CNPC",NA,NA,"1","31"
18.7696,7,3,0.93,98,"undefined","WH",NA,NA,"1","33"
21.3092833333333,1,4,1,1,"undefined","FILL",NA,NA,"1","127"
21.3092833333333,1,4,0.31,2,"undefined","WH",NA,NA,"1","36"
21.3092833333333,1,4,1,3,"undefined","FILL",NA,NA,"1","142"
21.3092833333333,1,4,0.39,4,"undefined","SUBJ",NA,NA,"1","35"
21.3092833333333,1,4,0.9,5,"undefined","FILL",NA,NA,"1","112"
21.3092833333333,1,4,0.26,6,"undefined","CNPC",NA,NA,"1","34"
21.3092833333333,8,4,0.76,7,"undefined","FILL",NA,NA,"1","115"
21.3092833333333,8,4,0.26,8,"undefined","CNPC",NA,NA,"1","43"
21.3092833333333,8,4,0.99,9,"undefined","FILL",NA,NA,"1","130"
21.3092833333333,8,4,1,10,"undefined","FILL",NA,NA,"1","145"
21.3092833333333,8,4,0.36,11,"undefined","SUBJ",NA,NA,"1","44"
21.3092833333333,8,4,0.11,12,"undefined","WH",NA,NA,"1","45"
21.3092833333333,9,4,1,13,"undefined","FILL",NA,NA,"1","103"
21.3092833333333,9,4,0.24,14,"undefined","SUBJ",NA,NA,"1","8"
21.3092833333333,9,4,1,15,"undefined","FILL",NA,NA,"1","118"
21.3092833333333,9,4,0.17,16,"undefined","CNPC",NA,NA,"1","7"
21.3092833333333,9,4,0.19,17,"undefined","WH",NA,NA,"1","9"
21.3092833333333,9,4,0.97,18,"undefined","FILL",NA,NA,"1","133"
21.3092833333333,9,4,0,19,"undefined","UNGRAM",NA,NA,"99","993"
21.3092833333333,9,4,1,20,"undefined","FILL",NA,NA,"99","993"
21.3092833333333,10,4,1,21,"undefined","FILL",NA,NA,"1","109"
21.3092833333333,10,4,0.22,22,"undefined","SUBJ",NA,NA,"1","26"
21.3092833333333,10,4,0.15,23,"undefined","CNPC",NA,NA,"1","25"
21.3092833333333,10,4,1,24,"undefined","FILL",NA,NA,"1","124"
21.3092833333333,10,4,1,25,"undefined","FILL",NA,NA,"1","139"
21.3092833333333,10,4,0.13,26,"undefined","WH",NA,NA,"1","27"
21.3092833333333,11,4,0.22,27,"undefined","FILL",NA,NA,"1","111"
21.3092833333333,11,4,0.19,28,"undefined","SUBJ",NA,NA,"1","32"
21.3092833333333,11,4,0.18,29,"undefined","CNPC",NA,NA,"1","31"
21.3092833333333,11,4,1,30,"undefined","FILL",NA,NA,"1","141"
21.3092833333333,11,4,1,31,"undefined","FILL",NA,NA,"1","126"
21.3092833333333,11,4,0.28,32,"undefined","WH",NA,NA,"1","33"
21.3092833333333,12,4,1,33,"undefined","FILL",NA,NA,"1","132"
21.3092833333333,12,4,0.2,34,"undefined","CNPC",NA,NA,"1","4"
21.3092833333333,12,4,1,35,"undefined","FILL",NA,NA,"1","117"
21.3092833333333,12,4,0.26,36,"undefined","WH",NA,NA,"1","6"
21.3092833333333,12,4,0.2,37,"undefined","SUBJ",NA,NA,"1","5"
21.3092833333333,12,4,0.98,38,"undefined","FILL",NA,NA,"1","102"
21.3092833333333,12,4,0.2,39,"undefined","UNGRAM",NA,NA,"99","992"
21.3092833333333,12,4,0.16,40,"undefined","FILL",NA,NA,"99","992"
21.3092833333333,13,4,0.92,41,"undefined","FILL",NA,NA,"1","105"
21.3092833333333,13,4,0.35,42,"undefined","WH",NA,NA,"1","15"
21.3092833333333,13,4,0.93,43,"undefined","FILL",NA,NA,"1","120"
21.3092833333333,13,4,0.19,44,"undefined","SUBJ",NA,NA,"1","14"
21.3092833333333,13,4,1,45,"undefined","FILL",NA,NA,"1","135"
21.3092833333333,13,4,0.14,46,"undefined","CNPC",NA,NA,"1","13"
21.3092833333333,14,4,1,47,"undefined","FILL",NA,NA,"1","140"
21.3092833333333,14,4,0.24,48,"undefined","WH",NA,NA,"1","30"
21.3092833333333,14,4,0.97,49,"undefined","FILL",NA,NA,"1","125"
21.3092833333333,14,4,1,50,"undefined","FILL",NA,NA,"1","110"
21.3092833333333,14,4,0.27,51,"undefined","SUBJ",NA,NA,"1","29"
21.3092833333333,14,4,0.31,52,"undefined","CNPC",NA,NA,"1","28"
21.3092833333333,15,4,1,53,"undefined","FILL",NA,NA,"1","119"
21.3092833333333,15,4,0.39,54,"undefined","CNPC",NA,NA,"1","10"
21.3092833333333,15,4,0.31,55,"undefined","WH",NA,NA,"1","12"
21.3092833333333,15,4,1,56,"undefined","FILL",NA,NA,"1","104"
21.3092833333333,15,4,0.27,57,"undefined","SUBJ",NA,NA,"1","11"
21.3092833333333,15,4,1,58,"undefined","FILL",NA,NA,"1","134"
21.3092833333333,15,4,0.14,59,"undefined","UNGRAM",NA,NA,"99","994"
21.3092833333333,15,4,1,60,"undefined","FILL",NA,NA,"99","994"
21.3092833333333,2,4,1,61,"undefined","FILL",NA,NA,"1","143"
21.3092833333333,2,4,0.27,62,"undefined","SUBJ",NA,NA,"1","38"
21.3092833333333,2,4,0.27,63,"undefined","CNPC",NA,NA,"1","37"
21.3092833333333,2,4,0.25,64,"undefined","FILL",NA,NA,"1","113"
21.3092833333333,2,4,0.22,65,"undefined","WH",NA,NA,"1","39"
21.3092833333333,2,4,1,66,"undefined","FILL",NA,NA,"1","128"
21.3092833333333,3,4,1,67,"undefined","FILL",NA,NA,"1","138"
21.3092833333333,3,4,0.16,68,"undefined","FILL",NA,NA,"1","108"
21.3092833333333,3,4,0.21,69,"undefined","CNPC",NA,NA,"1","22"
21.3092833333333,3,4,0.29,70,"undefined","SUBJ",NA,NA,"1","23"
21.3092833333333,3,4,0.25,71,"undefined","WH",NA,NA,"1","24"
21.3092833333333,3,4,1,72,"undefined","FILL",NA,NA,"1","123"
21.3092833333333,4,4,0.21,73,"undefined","SUBJ",NA,NA,"1","20"
21.3092833333333,4,4,1,74,"undefined","FILL",NA,NA,"1","107"
21.3092833333333,4,4,1,75,"undefined","FILL",NA,NA,"1","137"
21.3092833333333,4,4,0.98,76,"undefined","FILL",NA,NA,"1","122"
21.3092833333333,4,4,0.19,77,"undefined","CNPC",NA,NA,"1","19"
21.3092833333333,4,4,0.21,78,"undefined","WH",NA,NA,"1","21"
21.3092833333333,5,4,0.25,79,"undefined","CNPC",NA,NA,"1","16"
21.3092833333333,5,4,1,80,"undefined","FILL",NA,NA,"1","121"
21.3092833333333,5,4,0.57,81,"undefined","SUBJ",NA,NA,"1","17"
21.3092833333333,5,4,1,82,"undefined","FILL",NA,NA,"1","136"
21.3092833333333,5,4,0.2,83,"undefined","WH",NA,NA,"1","18"
21.3092833333333,5,4,1,84,"undefined","FILL",NA,NA,"1","106"
21.3092833333333,6,4,1,85,"undefined","FILL",NA,NA,"1","131"
21.3092833333333,6,4,0.25,86,"undefined","SUBJ",NA,NA,"1","2"
21.3092833333333,6,4,0.19,87,"undefined","FILL",NA,NA,"1","101"
21.3092833333333,6,4,0.19,88,"undefined","WH",NA,NA,"1","3"
21.3092833333333,6,4,0.99,89,"undefined","FILL",NA,NA,"1","116"
21.3092833333333,6,4,0.31,90,"undefined","CNPC",NA,NA,"1","1"
21.3092833333333,6,4,0.28,91,"undefined","UNGRAM",NA,NA,"99","991"
21.3092833333333,6,4,1,92,"undefined","FILL",NA,NA,"99","991"
21.3092833333333,7,4,0.24,93,"undefined","CNPC",NA,NA,"1","40"
21.3092833333333,7,4,1,94,"undefined","FILL",NA,NA,"1","144"
21.3092833333333,7,4,0.13,95,"undefined","WH",NA,NA,"1","42"
21.3092833333333,7,4,1,96,"undefined","FILL",NA,NA,"1","129"
21.3092833333333,7,4,0.23,97,"undefined","FILL",NA,NA,"1","114"
21.3092833333333,7,4,0.27,98,"undefined","SUBJ",NA,NA,"1","41"
17.89715,1,5,1,1,"undefined","FILL",NA,NA,"1","116"
17.89715,1,5,1,2,"undefined","FILL",NA,NA,"1","131"
17.89715,1,5,0.44,3,"undefined","SUBJ",NA,NA,"1","2"
17.89715,1,5,0.38,4,"undefined","CNPC",NA,NA,"1","1"
17.89715,1,5,1,5,"undefined","FILL",NA,NA,"1","101"
17.89715,1,5,0.79,6,"undefined","WH",NA,NA,"1","3"
17.89715,1,5,0,7,"undefined","UNGRAM",NA,NA,"99","991"
17.89715,1,5,1,8,"undefined","FILL",NA,NA,"99","991"
17.89715,8,5,0.88,9,"undefined","WH",NA,NA,"1","6"
17.89715,8,5,1,10,"undefined","FILL",NA,NA,"1","117"
17.89715,8,5,0.71,11,"undefined","SUBJ",NA,NA,"1","5"
17.89715,8,5,1,12,"undefined","FILL",NA,NA,"1","102"
17.89715,8,5,1,13,"undefined","FILL",NA,NA,"1","132"
17.89715,8,5,0.43,14,"undefined","CNPC",NA,NA,"1","4"
17.89715,8,5,0,15,"undefined","UNGRAM",NA,NA,"99","992"
17.89715,8,5,1,16,"undefined","FILL",NA,NA,"99","992"
17.89715,9,5,0.43,17,"undefined","SUBJ",NA,NA,"1","14"
17.89715,9,5,1,18,"undefined","FILL",NA,NA,"1","135"
17.89715,9,5,1,19,"undefined","FILL",NA,NA,"1","120"
17.89715,9,5,0.49,20,"undefined","CNPC",NA,NA,"1","13"
17.89715,9,5,1,21,"undefined","FILL",NA,NA,"1","105"
17.89715,9,5,0.84,22,"undefined","WH",NA,NA,"1","15"
17.89715,10,5,1,23,"undefined","FILL",NA,NA,"1","136"
17.89715,10,5,1,24,"undefined","FILL",NA,NA,"1","106"
17.89715,10,5,0.81,25,"undefined","SUBJ",NA,NA,"1","17"
17.89715,10,5,0.6,26,"undefined","CNPC",NA,NA,"1","16"
17.89715,10,5,1,27,"undefined","WH",NA,NA,"1","18"
17.89715,10,5,1,28,"undefined","FILL",NA,NA,"1","121"
17.89715,11,5,1,29,"undefined","FILL",NA,NA,"1","144"
17.89715,11,5,0.81,30,"undefined","FILL",NA,NA,"1","114"
17.89715,11,5,1,31,"undefined","WH",NA,NA,"1","42"
17.89715,11,5,0.31,32,"undefined","SUBJ",NA,NA,"1","41"
17.89715,11,5,1,33,"undefined","CNPC",NA,NA,"1","40"
17.89715,11,5,1,34,"undefined","FILL",NA,NA,"1","129"
17.89715,12,5,1,35,"undefined","FILL",NA,NA,"1","113"
17.89715,12,5,0.45,36,"undefined","SUBJ",NA,NA,"1","38"
17.89715,12,5,1,37,"undefined","FILL",NA,NA,"1","143"
17.89715,12,5,1,38,"undefined","CNPC",NA,NA,"1","37"
17.89715,12,5,0.84,39,"undefined","WH",NA,NA,"1","39"
17.89715,12,5,1,40,"undefined","FILL",NA,NA,"1","128"
17.89715,13,5,1,41,"undefined","FILL",NA,NA,"1","119"
17.89715,13,5,0.73,42,"undefined","CNPC",NA,NA,"1","10"
17.89715,13,5,1,43,"undefined","FILL",NA,NA,"1","134"
17.89715,13,5,0.49,44,"undefined","SUBJ",NA,NA,"1","11"
17.89715,13,5,0.84,45,"undefined","WH",NA,NA,"1","12"
17.89715,13,5,1,46,"undefined","FILL",NA,NA,"1","104"
17.89715,13,5,0,47,"undefined","UNGRAM",NA,NA,"99","994"
17.89715,13,5,1,48,"undefined","FILL",NA,NA,"99","994"
17.89715,14,5,1,49,"undefined","FILL",NA,NA,"1","112"
17.89715,14,5,0.49,50,"undefined","CNPC",NA,NA,"1","34"
17.89715,14,5,0.38,51,"undefined","SUBJ",NA,NA,"1","35"
17.89715,14,5,1,52,"undefined","FILL",NA,NA,"1","127"
17.89715,14,5,1,53,"undefined","FILL",NA,NA,"1","142"
17.89715,14,5,1,54,"undefined","WH",NA,NA,"1","36"
17.89715,15,5,0.53,55,"undefined","CNPC",NA,NA,"1","25"
17.89715,15,5,1,56,"undefined","FILL",NA,NA,"1","139"
17.89715,15,5,1,57,"undefined","FILL",NA,NA,"1","124"
17.89715,15,5,1,58,"undefined","FILL",NA,NA,"1","109"
17.89715,15,5,1,59,"undefined","WH",NA,NA,"1","27"
17.89715,15,5,0.43,60,"undefined","SUBJ",NA,NA,"1","26"
17.89715,2,5,0.79,61,"undefined","CNPC",NA,NA,"1","43"
17.89715,2,5,1,62,"undefined","FILL",NA,NA,"1","130"
17.89715,2,5,0.49,63,"undefined","SUBJ",NA,NA,"1","44"
17.89715,2,5,1,64,"undefined","FILL",NA,NA,"1","145"
17.89715,2,5,0.9,65,"undefined","WH",NA,NA,"1","45"
17.89715,2,5,1,66,"undefined","FILL",NA,NA,"1","115"
17.89715,3,5,1,67,"undefined","FILL",NA,NA,"1","123"
17.89715,3,5,0.89,68,"undefined","SUBJ",NA,NA,"1","23"
17.89715,3,5,0.94,69,"undefined","WH",NA,NA,"1","24"
17.89715,3,5,0.45,70,"undefined","CNPC",NA,NA,"1","22"
17.89715,3,5,1,71,"undefined","FILL",NA,NA,"1","108"
17.89715,3,5,1,72,"undefined","FILL",NA,NA,"1","138"
17.89715,4,5,1,73,"undefined","FILL",NA,NA,"1","141"
17.89715,4,5,0.5,74,"undefined","SUBJ",NA,NA,"1","32"
17.89715,4,5,0.72,75,"undefined","WH",NA,NA,"1","33"
