"Answer.time_in_minutes","item_number","first_response_value","wrong_attempts","condition","list_number","trial_sequence_total","Answer.condition","workerid","block_sequence","response"
10.14495,"118",NA,NA,"UNGRAM","1",72,"undefined",0,8,0.07
10.14495,"103",NA,NA,"FILL","1",73,"undefined",0,8,0.99
10.14495,"7",NA,NA,"CNPC","1",74,"undefined",0,8,0.94
10.14495,"8",NA,NA,"SUBJ","1",75,"undefined",0,8,0.89
11.39225,"12",NA,NA,"WH","1",1,"undefined",1,2,0.85
11.39225,"104",NA,NA,"FILL","1",2,"undefined",1,2,0.99
11.39225,"10",NA,NA,"CNPC","1",3,"undefined",1,2,0.67
11.39225,"119",NA,NA,"UNGRAM","1",4,"undefined",1,2,0.27
11.39225,"11",NA,NA,"SUBJ","1",5,"undefined",1,2,0.28
11.39225,"101",NA,NA,"FILL","1",6,"undefined",1,9,0.92
11.39225,"2",NA,NA,"SUBJ","1",7,"undefined",1,9,0.26
11.39225,"3",NA,NA,"WH","1",8,"undefined",1,9,0.79
11.39225,"1",NA,NA,"CNPC","1",9,"undefined",1,9,0.26
11.39225,"116",NA,NA,"UNGRAM","1",10,"undefined",1,9,0.26
11.39225,"15",NA,NA,"WH","1",11,"undefined",1,10,0.84
11.39225,"14",NA,NA,"SUBJ","1",12,"undefined",1,10,0.73
11.39225,"13",NA,NA,"CNPC","1",13,"undefined",1,10,0.42
11.39225,"105",NA,NA,"FILL","1",14,"undefined",1,10,0.93
11.39225,"120",NA,NA,"UNGRAM","1",15,"undefined",1,10,0.26
11.39225,"118",NA,NA,"UNGRAM","1",16,"undefined",1,11,0.24
11.39225,"7",NA,NA,"CNPC","1",17,"undefined",1,11,0.87
11.39225,"103",NA,NA,"FILL","1",18,"undefined",1,11,0.88
11.39225,"8",NA,NA,"SUBJ","1",19,"undefined",1,11,0.32
11.39225,"9",NA,NA,"WH","1",20,"undefined",1,11,0.29
11.39225,"38",NA,NA,"SUBJ","1",21,"undefined",1,12,0.17
11.39225,"128",NA,NA,"UNGRAM","1",22,"undefined",1,12,0.21
11.39225,"113",NA,NA,"FILL","1",23,"undefined",1,12,0.97
11.39225,"37",NA,NA,"CNPC","1",24,"undefined",1,12,0.39
11.39225,"39",NA,NA,"WH","1",25,"undefined",1,12,0.43
11.39225,"36",NA,NA,"WH","1",26,"undefined",1,13,0.84
11.39225,"35",NA,NA,"SUBJ","1",27,"undefined",1,13,0.86
11.39225,"127",NA,NA,"UNGRAM","1",28,"undefined",1,13,0.17
11.39225,"34",NA,NA,"CNPC","1",29,"undefined",1,13,0.8
11.39225,"112",NA,NA,"FILL","1",30,"undefined",1,13,0.9
11.39225,"126",NA,NA,"UNGRAM","1",31,"undefined",1,14,0.22
11.39225,"31",NA,NA,"CNPC","1",32,"undefined",1,14,0.85
11.39225,"111",NA,NA,"FILL","1",33,"undefined",1,14,0.96
11.39225,"33",NA,NA,"WH","1",34,"undefined",1,14,0.67
11.39225,"32",NA,NA,"SUBJ","1",35,"undefined",1,14,0.77
11.39225,"18",NA,NA,"WH","1",36,"undefined",1,15,0.79
11.39225,"106",NA,NA,"FILL","1",37,"undefined",1,15,0.79
11.39225,"121",NA,NA,"UNGRAM","1",38,"undefined",1,15,0.17
11.39225,"16",NA,NA,"CNPC","1",39,"undefined",1,15,0.89
11.39225,"17",NA,NA,"SUBJ","1",40,"undefined",1,15,0.82
11.39225,"117",NA,NA,"UNGRAM","1",41,"undefined",1,16,0.12
11.39225,"102",NA,NA,"FILL","1",42,"undefined",1,16,0.83
11.39225,"4",NA,NA,"CNPC","1",43,"undefined",1,16,0.18
11.39225,"6",NA,NA,"WH","1",44,"undefined",1,16,0.77
11.39225,"5",NA,NA,"SUBJ","1",45,"undefined",1,16,0.24
11.39225,"110",NA,NA,"FILL","1",46,"undefined",1,3,0.84
11.39225,"125",NA,NA,"UNGRAM","1",47,"undefined",1,3,0.2
11.39225,"30",NA,NA,"WH","1",48,"undefined",1,3,0.79
11.39225,"28",NA,NA,"CNPC","1",49,"undefined",1,3,0.85
11.39225,"29",NA,NA,"SUBJ","1",50,"undefined",1,3,0.29
11.39225,"25",NA,NA,"CNPC","1",51,"undefined",1,4,0.81
11.39225,"109",NA,NA,"FILL","1",52,"undefined",1,4,0.84
11.39225,"124",NA,NA,"UNGRAM","1",53,"undefined",1,4,0.14
11.39225,"27",NA,NA,"WH","1",54,"undefined",1,4,0.83
11.39225,"26",NA,NA,"SUBJ","1",55,"undefined",1,4,0.8
11.39225,"20",NA,NA,"SUBJ","1",56,"undefined",1,5,0.8
11.39225,"107",NA,NA,"FILL","1",57,"undefined",1,5,0.82
11.39225,"122",NA,NA,"UNGRAM","1",58,"undefined",1,5,0.12
11.39225,"19",NA,NA,"CNPC","1",59,"undefined",1,5,0.84
11.39225,"21",NA,NA,"WH","1",60,"undefined",1,5,0.8
11.39225,"22",NA,NA,"CNPC","1",61,"undefined",1,6,0.89
11.39225,"23",NA,NA,"SUBJ","1",62,"undefined",1,6,0.19
11.39225,"24",NA,NA,"WH","1",63,"undefined",1,6,0.82
11.39225,"123",NA,NA,"UNGRAM","1",64,"undefined",1,6,0.14
11.39225,"108",NA,NA,"FILL","1",65,"undefined",1,6,0.83
11.39225,"45",NA,NA,"WH","1",66,"undefined",1,7,0.8
11.39225,"43",NA,NA,"CNPC","1",67,"undefined",1,7,0.77
11.39225,"44",NA,NA,"SUBJ","1",68,"undefined",1,7,0.82
11.39225,"115",NA,NA,"FILL","1",69,"undefined",1,7,0.66
11.39225,"130",NA,NA,"UNGRAM","1",70,"undefined",1,7,0.13
11.39225,"40",NA,NA,"CNPC","1",71,"undefined",1,8,0.81
11.39225,"42",NA,NA,"WH","1",72,"undefined",1,8,0.86
11.39225,"129",NA,NA,"UNGRAM","1",73,"undefined",1,8,0.18
11.39225,"41",NA,NA,"SUBJ","1",74,"undefined",1,8,0.81
11.39225,"114",NA,NA,"FILL","1",75,"undefined",1,8,0.85
11.30036667,"45",NA,NA,"WH","1",1,"undefined",2,2,0.57
11.30036667,"44",NA,NA,"SUBJ","1",2,"undefined",2,2,0.33
11.30036667,"43",NA,NA,"CNPC","1",3,"undefined",2,2,0.21
11.30036667,"130",NA,NA,"UNGRAM","1",4,"undefined",2,2,0.02
11.30036667,"115",NA,NA,"FILL","1",5,"undefined",2,2,0.99
11.30036667,"108",NA,NA,"FILL","1",6,"undefined",2,9,1
11.30036667,"24",NA,NA,"WH","1",7,"undefined",2,9,0.74
11.30036667,"23",NA,NA,"SUBJ","1",8,"undefined",2,9,0.33
11.30036667,"123",NA,NA,"UNGRAM","1",9,"undefined",2,9,0.01
11.30036667,"22",NA,NA,"CNPC","1",10,"undefined",2,9,0.18
11.30036667,"28",NA,NA,"CNPC","1",11,"undefined",2,10,0.8
11.30036667,"125",NA,NA,"UNGRAM","1",12,"undefined",2,10,0.02
11.30036667,"29",NA,NA,"SUBJ","1",13,"undefined",2,10,0.95
11.30036667,"110",NA,NA,"FILL","1",14,"undefined",2,10,1
11.30036667,"30",NA,NA,"WH","1",15,"undefined",2,10,0.71
11.30036667,"17",NA,NA,"SUBJ","1",16,"undefined",2,11,0.63
11.30036667,"121",NA,NA,"UNGRAM","1",17,"undefined",2,11,0
11.30036667,"106",NA,NA,"FILL","1",18,"undefined",2,11,1
11.30036667,"18",NA,NA,"WH","1",19,"undefined",2,11,0.88
11.30036667,"16",NA,NA,"CNPC","1",20,"undefined",2,11,0.52
11.30036667,"40",NA,NA,"CNPC","1",21,"undefined",2,12,0.85
11.30036667,"41",NA,NA,"SUBJ","1",22,"undefined",2,12,0.24
11.30036667,"42",NA,NA,"WH","1",23,"undefined",2,12,0.74
11.30036667,"129",NA,NA,"UNGRAM","1",24,"undefined",2,12,0.28
11.30036667,"114",NA,NA,"FILL","1",25,"undefined",2,12,0.97
11.30036667,"32",NA,NA,"SUBJ","1",26,"undefined",2,13,0.77
11.30036667,"111",NA,NA,"FILL","1",27,"undefined",2,13,0.98
11.30036667,"31",NA,NA,"CNPC","1",28,"undefined",2,13,0.83
11.30036667,"126",NA,NA,"UNGRAM","1",29,"undefined",2,13,0.02
11.30036667,"33",NA,NA,"WH","1",30,"undefined",2,13,1
11.30036667,"107",NA,NA,"FILL","1",31,"undefined",2,14,0.98
11.30036667,"20",NA,NA,"SUBJ","1",32,"undefined",2,14,0.97
11.30036667,"21",NA,NA,"WH","1",33,"undefined",2,14,0.75
11.30036667,"122",NA,NA,"UNGRAM","1",34,"undefined",2,14,0.01
11.30036667,"19",NA,NA,"CNPC","1",35,"undefined",2,14,0.81
11.30036667,"39",NA,NA,"WH","1",36,"undefined",2,15,0.84
11.30036667,"37",NA,NA,"CNPC","1",37,"undefined",2,15,0.78
11.30036667,"113",NA,NA,"FILL","1",38,"undefined",2,15,1
11.30036667,"128",NA,NA,"UNGRAM","1",39,"undefined",2,15,0
11.30036667,"38",NA,NA,"SUBJ","1",40,"undefined",2,15,0.29
11.30036667,"4",NA,NA,"CNPC","1",41,"undefined",2,16,0.97
11.30036667,"117",NA,NA,"UNGRAM","1",42,"undefined",2,16,0.01
11.30036667,"6",NA,NA,"WH","1",43,"undefined",2,16,0.96
11.30036667,"5",NA,NA,"SUBJ","1",44,"undefined",2,16,0.97
11.30036667,"102",NA,NA,"FILL","1",45,"undefined",2,16,0.98
11.30036667,"36",NA,NA,"WH","1",46,"undefined",2,3,1
11.30036667,"112",NA,NA,"FILL","1",47,"undefined",2,3,0.23
11.30036667,"35",NA,NA,"SUBJ","1",48,"undefined",2,3,0.84
11.30036667,"127",NA,NA,"UNGRAM","1",49,"undefined",2,3,0
11.30036667,"34",NA,NA,"CNPC","1",50,"undefined",2,3,0.99
11.30036667,"14",NA,NA,"SUBJ","1",51,"undefined",2,4,0.97
11.30036667,"120",NA,NA,"UNGRAM","1",52,"undefined",2,4,0.01
11.30036667,"15",NA,NA,"WH","1",53,"undefined",2,4,0.99
11.30036667,"105",NA,NA,"FILL","1",54,"undefined",2,4,0.99
11.30036667,"13",NA,NA,"CNPC","1",55,"undefined",2,4,0.51
11.30036667,"3",NA,NA,"WH","1",56,"undefined",2,5,0.5
11.30036667,"1",NA,NA,"CNPC","1",57,"undefined",2,5,0.71
11.30036667,"2",NA,NA,"SUBJ","1",58,"undefined",2,5,0.99
11.30036667,"101",NA,NA,"FILL","1",59,"undefined",2,5,0.98
11.30036667,"116",NA,NA,"UNGRAM","1",60,"undefined",2,5,0.01
11.30036667,"11",NA,NA,"SUBJ","1",61,"undefined",2,6,1
11.30036667,"10",NA,NA,"CNPC","1",62,"undefined",2,6,0.98
11.30036667,"12",NA,NA,"WH","1",63,"undefined",2,6,0.86
11.30036667,"104",NA,NA,"FILL","1",64,"undefined",2,6,1
11.30036667,"119",NA,NA,"UNGRAM","1",65,"undefined",2,6,0
11.30036667,"103",NA,NA,"FILL","1",66,"undefined",2,7,0.99
11.30036667,"118",NA,NA,"UNGRAM","1",67,"undefined",2,7,0.02
11.30036667,"9",NA,NA,"WH","1",68,"undefined",2,7,1
11.30036667,"7",NA,NA,"CNPC","1",69,"undefined",2,7,0.32
11.30036667,"8",NA,NA,"SUBJ","1",70,"undefined",2,7,1
11.30036667,"124",NA,NA,"UNGRAM","1",71,"undefined",2,8,0.02
11.30036667,"27",NA,NA,"WH","1",72,"undefined",2,8,1
11.30036667,"109",NA,NA,"FILL","1",73,"undefined",2,8,0.98
11.30036667,"26",NA,NA,"SUBJ","1",74,"undefined",2,8,1
11.30036667,"25",NA,NA,"CNPC","1",75,"undefined",2,8,0.99
6.16415,"33",NA,NA,"WH","1",1,"undefined",3,2,0.15
6.16415,"111",NA,NA,"FILL","1",2,"undefined",3,2,0.7
6.16415,"32",NA,NA,"SUBJ","1",3,"undefined",3,2,0.14
6.16415,"31",NA,NA,"CNPC","1",4,"undefined",3,2,0.16
6.16415,"126",NA,NA,"UNGRAM","1",5,"undefined",3,2,0.03
6.16415,"28",NA,NA,"CNPC","1",6,"undefined",3,9,0.64
6.16415,"125",NA,NA,"UNGRAM","1",7,"undefined",3,9,0.06
6.16415,"30",NA,NA,"WH","1",8,"undefined",3,9,0.52
6.16415,"110",NA,NA,"FILL","1",9,"undefined",3,9,0.8
6.16415,"29",NA,NA,"SUBJ","1",10,"undefined",3,9,0.07
6.16415,"13",NA,NA,"CNPC","1",11,"undefined",3,10,0.58
6.16415,"15",NA,NA,"WH","1",12,"undefined",3,10,0.17
6.16415,"14",NA,NA,"SUBJ","1",13,"undefined",3,10,0.15
6.16415,"120",NA,NA,"UNGRAM","1",14,"undefined",3,10,0.01
6.16415,"105",NA,NA,"FILL","1",15,"undefined",3,10,0.92
6.16415,"106",NA,NA,"FILL","1",16,"undefined",3,11,0.7
6.16415,"121",NA,NA,"UNGRAM","1",17,"undefined",3,11,0.03
6.16415,"18",NA,NA,"WH","1",18,"undefined",3,11,0.29
6.16415,"17",NA,NA,"SUBJ","1",19,"undefined",3,11,0.26
6.16415,"16",NA,NA,"CNPC","1",20,"undefined",3,11,0.36
6.16415,"129",NA,NA,"UNGRAM","1",21,"undefined",3,12,0.02
6.16415,"41",NA,NA,"SUBJ","1",22,"undefined",3,12,0.28
6.16415,"42",NA,NA,"WH","1",23,"undefined",3,12,0.63
6.16415,"114",NA,NA,"FILL","1",24,"undefined",3,12,0.7
6.16415,"40",NA,NA,"CNPC","1",25,"undefined",3,12,0.17
6.16415,"122",NA,NA,"UNGRAM","1",26,"undefined",3,13,0.02
6.16415,"20",NA,NA,"SUBJ","1",27,"undefined",3,13,0.59
6.16415,"19",NA,NA,"CNPC","1",28,"undefined",3,13,0.24
6.16415,"21",NA,NA,"WH","1",29,"undefined",3,13,0.47
6.16415,"107",NA,NA,"FILL","1",30,"undefined",3,13,0.73
6.16415,"9",NA,NA,"WH","1",31,"undefined",3,14,0.03
6.16415,"7",NA,NA,"CNPC","1",32,"undefined",3,14,0.35
6.16415,"103",NA,NA,"FILL","1",33,"undefined",3,14,0.74
6.16415,"118",NA,NA,"UNGRAM","1",34,"undefined",3,14,0
6.16415,"8",NA,NA,"SUBJ","1",35,"undefined",3,14,0.1
6.16415,"119",NA,NA,"UNGRAM","1",36,"undefined",3,15,0.05
6.16415,"104",NA,NA,"FILL","1",37,"undefined",3,15,0.74
6.16415,"12",NA,NA,"WH","1",38,"undefined",3,15,0.5
6.16415,"11",NA,NA,"SUBJ","1",39,"undefined",3,15,0.28
6.16415,"10",NA,NA,"CNPC","1",40,"undefined",3,15,0.48
6.16415,"127",NA,NA,"UNGRAM","1",41,"undefined",3,16,0.06
6.16415,"36",NA,NA,"WH","1",42,"undefined",3,16,0.34
6.16415,"112",NA,NA,"FILL","1",43,"undefined",3,16,0.68
6.16415,"35",NA,NA,"SUBJ","1",44,"undefined",3,16,0.08
6.16415,"34",NA,NA,"CNPC","1",45,"undefined",3,16,0.23
6.16415,"128",NA,NA,"UNGRAM","1",46,"undefined",3,3,0.06
6.16415,"113",NA,NA,"FILL","1",47,"undefined",3,3,0.83
6.16415,"39",NA,NA,"WH","1",48,"undefined",3,3,0.63
6.16415,"38",NA,NA,"SUBJ","1",49,"undefined",3,3,0.3
6.16415,"37",NA,NA,"CNPC","1",50,"undefined",3,3,0.62
6.16415,"23",NA,NA,"SUBJ","1",51,"undefined",3,4,0.34
6.16415,"22",NA,NA,"CNPC","1",52,"undefined",3,4,0.3
6.16415,"123",NA,NA,"UNGRAM","1",53,"undefined",3,4,0.16
6.16415,"24",NA,NA,"WH","1",54,"undefined",3,4,0.49
6.16415,"108",NA,NA,"FILL","1",55,"undefined",3,4,0.79
6.16415,"109",NA,NA,"FILL","1",56,"undefined",3,5,0.71
6.16415,"25",NA,NA,"CNPC","1",57,"undefined",3,5,0.3
6.16415,"26",NA,NA,"SUBJ","1",58,"undefined",3,5,0.18
6.16415,"27",NA,NA,"WH","1",59,"undefined",3,5,0.58
6.16415,"124",NA,NA,"UNGRAM","1",60,"undefined",3,5,0.11
6.16415,"2",NA,NA,"SUBJ","1",61,"undefined",3,6,0.56
6.16415,"3",NA,NA,"WH","1",62,"undefined",3,6,0.22
6.16415,"116",NA,NA,"UNGRAM","1",63,"undefined",3,6,0.31
6.16415,"101",NA,NA,"FILL","1",64,"undefined",3,6,0.65
6.16415,"1",NA,NA,"CNPC","1",65,"undefined",3,6,0.24
6.16415,"117",NA,NA,"UNGRAM","1",66,"undefined",3,7,0.17
6.16415,"4",NA,NA,"CNPC","1",67,"undefined",3,7,0.54
6.16415,"6",NA,NA,"WH","1",68,"undefined",3,7,0.64
6.16415,"5",NA,NA,"SUBJ","1",69,"undefined",3,7,0.37
6.16415,"102",NA,NA,"FILL","1",70,"undefined",3,7,0.94
6.16415,"45",NA,NA,"WH","1",71,"undefined",3,8,0.73
6.16415,"44",NA,NA,"SUBJ","1",72,"undefined",3,8,0.41
6.16415,"43",NA,NA,"CNPC","1",73,"undefined",3,8,0.19
6.16415,"115",NA,NA,"FILL","1",74,"undefined",3,8,0.63
6.16415,"130",NA,NA,"UNGRAM","1",75,"undefined",3,8,0.05
10.50275,"33",NA,NA,"WH","1",1,"undefined",4,2,0
10.50275,"32",NA,NA,"SUBJ","1",2,"undefined",4,2,0.2
10.50275,"126",NA,NA,"UNGRAM","1",3,"undefined",4,2,0
10.50275,"111",NA,NA,"FILL","1",4,"undefined",4,2,0.61
10.50275,"31",NA,NA,"CNPC","1",5,"undefined",4,2,0.33
10.50275,"109",NA,NA,"FILL","1",6,"undefined",4,9,0.66
10.50275,"26",NA,NA,"SUBJ","1",7,"undefined",4,9,0.36
10.50275,"25",NA,NA,"CNPC","1",8,"undefined",4,9,0.74
10.50275,"124",NA,NA,"UNGRAM","1",9,"undefined",4,9,0
10.50275,"27",NA,NA,"WH","1",10,"undefined",4,9,0.74
10.50275,"13",NA,NA,"CNPC","1",11,"undefined",4,10,0.21
10.50275,"15",NA,NA,"WH","1",12,"undefined",4,10,0.8
10.50275,"120",NA,NA,"UNGRAM","1",13,"undefined",4,10,0
10.50275,"14",NA,NA,"SUBJ","1",14,"undefined",4,10,0
10.50275,"105",NA,NA,"FILL","1",15,"undefined",4,10,1
10.50275,"40",NA,NA,"CNPC","1",16,"undefined",4,11,0.1
10.50275,"41",NA,NA,"SUBJ","1",17,"undefined",4,11,0
10.50275,"129",NA,NA,"UNGRAM","1",18,"undefined",4,11,0
10.50275,"42",NA,NA,"WH","1",19,"undefined",4,11,0.75
10.50275,"114",NA,NA,"FILL","1",20,"undefined",4,11,1
10.50275,"128",NA,NA,"UNGRAM","1",21,"undefined",4,12,0
10.50275,"38",NA,NA,"SUBJ","1",22,"undefined",4,12,0.65
10.50275,"37",NA,NA,"CNPC","1",23,"undefined",4,12,0
10.50275,"113",NA,NA,"FILL","1",24,"undefined",4,12,1
10.50275,"39",NA,NA,"WH","1",25,"undefined",4,12,0.79
10.50275,"6",NA,NA,"WH","1",26,"undefined",4,13,0.97
10.50275,"5",NA,NA,"SUBJ","1",27,"undefined",4,13,0.12
10.50275,"4",NA,NA,"CNPC","1",28,"undefined",4,13,0.08
10.50275,"117",NA,NA,"UNGRAM","1",29,"undefined",4,13,0
10.50275,"102",NA,NA,"FILL","1",30,"undefined",4,13,0.95
10.50275,"112",NA,NA,"FILL","1",31,"undefined",4,14,0.94
10.50275,"127",NA,NA,"UNGRAM","1",32,"undefined",4,14,0
10.50275,"34",NA,NA,"CNPC","1",33,"undefined",4,14,0
10.50275,"36",NA,NA,"WH","1",34,"undefined",4,14,0.82
10.50275,"35",NA,NA,"SUBJ","1",35,"undefined",4,14,0.63
10.50275,"121",NA,NA,"UNGRAM","1",36,"undefined",4,15,0
10.50275,"18",NA,NA,"WH","1",37,"undefined",4,15,0.84
10.50275,"106",NA,NA,"FILL","1",38,"undefined",4,15,0.81
10.50275,"17",NA,NA,"SUBJ","1",39,"undefined",4,15,0.67
10.50275,"16",NA,NA,"CNPC","1",40,"undefined",4,15,0.15
10.50275,"9",NA,NA,"WH","1",41,"undefined",4,16,0.71
10.50275,"118",NA,NA,"UNGRAM","1",42,"undefined",4,16,0
10.50275,"103",NA,NA,"FILL","1",43,"undefined",4,16,1
10.50275,"8",NA,NA,"SUBJ","1",44,"undefined",4,16,0.64
10.50275,"7",NA,NA,"CNPC","1",45,"undefined",4,16,0.18
10.50275,"123",NA,NA,"UNGRAM","1",46,"undefined",4,3,0
10.50275,"24",NA,NA,"WH","1",47,"undefined",4,3,0.68
10.50275,"23",NA,NA,"SUBJ","1",48,"undefined",4,3,0.8
10.50275,"22",NA,NA,"CNPC","1",49,"undefined",4,3,0.16
10.50275,"108",NA,NA,"FILL","1",50,"undefined",4,3,1
10.50275,"110",NA,NA,"FILL","1",51,"undefined",4,4,1
10.50275,"29",NA,NA,"SUBJ","1",52,"undefined",4,4,0.73
10.50275,"125",NA,NA,"UNGRAM","1",53,"undefined",4,4,0
10.50275,"28",NA,NA,"CNPC","1",54,"undefined",4,4,0.74
10.50275,"30",NA,NA,"WH","1",55,"undefined",4,4,0.18
10.50275,"45",NA,NA,"WH","1",56,"undefined",4,5,0.78
10.50275,"44",NA,NA,"SUBJ","1",57,"undefined",4,5,0.7
10.50275,"130",NA,NA,"UNGRAM","1",58,"undefined",4,5,0
10.50275,"115",NA,NA,"FILL","1",59,"undefined",4,5,0.88
10.50275,"43",NA,NA,"CNPC","1",60,"undefined",4,5,0.2
10.50275,"10",NA,NA,"CNPC","1",61,"undefined",4,6,0.35
10.50275,"104",NA,NA,"FILL","1",62,"undefined",4,6,0.61
10.50275,"11",NA,NA,"SUBJ","1",63,"undefined",4,6,0.73
10.50275,"12",NA,NA,"WH","1",64,"undefined",4,6,0.13
10.50275,"119",NA,NA,"UNGRAM","1",65,"undefined",4,6,0.02
10.50275,"3",NA,NA,"WH","1",66,"undefined",4,7,0.87
10.50275,"101",NA,NA,"FILL","1",67,"undefined",4,7,1
10.50275,"116",NA,NA,"UNGRAM","1",68,"undefined",4,7,0
10.50275,"1",NA,NA,"CNPC","1",69,"undefined",4,7,0.21
10.50275,"2",NA,NA,"SUBJ","1",70,"undefined",4,7,0.7
10.50275,"20",NA,NA,"SUBJ","1",71,"undefined",4,8,0.8
10.50275,"21",NA,NA,"WH","1",72,"undefined",4,8,0.92
10.50275,"19",NA,NA,"CNPC","1",73,"undefined",4,8,0.08
10.50275,"107",NA,NA,"FILL","1",74,"undefined",4,8,0.9
10.50275,"122",NA,NA,"UNGRAM","1",75,"undefined",4,8,0
