screenH,OS,Browser,screenW,workerid
1024,Windows,Chrome,1280,323
768,Windows,Chrome,1366,324
768,Windows,Chrome,1366,325
864,Windows,Chrome,1536,326
864,Windows,Chrome,1536,327
768,Linux,Chrome,1366,328
768,Windows,Chrome,1366,329
720,Windows,Chrome,1280,330
864,Windows,Chrome,1536,331
768,Windows,Chrome,1366,332
768,Windows,Chrome,1366,44
768,Windows,Chrome,1366,333
768,Windows,Chrome,1366,334
1080,Windows,Chrome,1920,335
768,Windows,Chrome,1366,336
720,Windows,Chrome,1280,337
780,Windows,Chrome,1386,338
1080,Windows,Chrome,1920,339
1080,Linux,Chrome,1920,340
1050,Mac,Chrome,1680,341
768,Windows,Chrome,1366,342
1080,Windows,Firefox,1920,343
1080,Windows,Chrome,1920,344
1080,Windows,Chrome,1920,345
1080,Windows,Chrome,1920,346
768,Windows,Chrome,1366,18
768,Windows,Chrome,1366,347
900,Windows,Chrome,1600,17
