problems,language,workerid,comments,education,enjoyment,fairprice,age,gender,asses
no,english,68,,3,2,5.00,47,Male,Yes
"A possible unintentional missing word (""of"") and a stray 'w' in 2 different questions.",English,69,,3,2,3.50,44,Male,Yes
No,English,70,"The HIT was a good exercise in linguistics and helped me sharpen my skill set.

Thank you for the opportunity.",2,2,4.50,42,Male,Yes
no,English,71,,2,2,4.50,46,Female,Yes
None at all,English,72,"I really don't have anything, thank you",3,2,4.00,50,Male,Yes
NO,ENGLISH,73,GOOD,3,2,YES,34,Female,
N/A,English,74,,4,1,4.50,39,Male,Yes
I did not run into any bugs or problems,English,75,"It was an interesting HIT, but I do think the timer is a bit low. I felt a bit rushed, but I did enjoy the HIT.",1,2,yes,44,Male,Yes
No,English,76,"Interesting task, accurate progress bar, task was formatted well. ",3,2,$5,33,Male,Yes
no,english,77,,3,1,it was pretty good,35,Male,Yes
None,english,78,,4,1,yes,33,Female,Yes
No,English,79,,1,1,5,33,Male,Yes
none,English,80,interesting,3,2,5,35,Male,Yes
None,English,81,,3,1,4.00,29,Male,Yes
no,english,82,"This was interesting and enjoyable, thank you and keep up the good work!",3,2,5.00,40,Female,Yes
No problems or bugs in the experiment,English,83,Interesting,3,2,5,28,Male,Yes
,English,84,,3,1,yes,27,Female,Yes
none,English,85,Somewhat interesting,4,2,4.50,69,Female,Yes
None.,English,86,"Fun,thank you.",3,2,4.50,46,Male,Yes
,English,87,,4,2,4.5,56,Female,Yes
None.,English,88,,3,2,4.50,39,Male,Yes
There were no problems or bugs with the experiment.,"English, Spanish",89,,2,1,6.00,21,Male,Yes
,English,90,,2,2,5.50,32,Male,Yes
no,english,91,,3,2,5,42,Female,Yes
no,English,92,That was fun. English and language are some of my favorite surveys to take.,1,2,4.50,62,Female,Yes
no,english,93,no comments,1,2,4.50,25,Female,Yes
no,English,94,yes,3,2,5,48,Male,Yes
,English,95,,2,2,4.50,26,Male,Yes
none,english,96,,1,2,absolutely!,43,Female,Yes
Nope,english,97,everything went smoothly,2,1,4.5,34,Female,Yes
,english,98,,2,1,,23,Female,Yes
No.,,99,Thank you for the opportunity!,1,2,Yes.,51,Female,Yes
,english,100,,3,1,6,33,Male,No
no,English,101,,2,1,5.00,48,Male,Yes
None,English,102,,2,2,4.50,25,Male,Yes
Nope,English,103,Thanks!,2,2,4,31,Male,Yes
no,english,104,good task,2,2,4.50,55,Male,Yes
no,English,105,,2,2,4.50,43,Male,Yes
No,English,106,It was interesting and paid well. I wish I had more like this.,2,2,3.00,50,Male,Yes
none,english,107,,2,2,yes thank you,35,Male,No
No.,English,108,,2,2,4.50,34,Other,Yes
Nil,English,109,Good and easy task,3,2,5,28,Female,Yes
No,english,110,,3,2,4.50,39,Female,Yes
No,English,111,It was a bit fun to do.,3,2,Yes,44,Female,Yes
N0,English,112,,3,2,4.50,52,Male,No
no,english,113,it was fun!,3,2,4.50,39,Female,Yes
none,english,114,nice experiment,4,2,4.50,28,Female,Yes
,,115,,3,2,,30,Female,Yes
no,english,116,good,3,2,4.50,34,Female,Yes
none,English ,117,nice work,3,2,5.00,28,Male,Yes
no problems,English,118,no problems,2,2,5.00,45,Male,Yes
There were some misspellings. No technical issues using MX Linux and latest Chromium. ,Mandarin,119,,2,1,$4,55,Male,Yes
No,English,120,None,2,1,4.50,53,Male,Yes
no,English,121,,4,2,4.50,43,Female,Yes
No Issues,English,122,Nice Experiment ,3,2,5,33,Male,Yes
No,English,123,,3,1,4.50,39,Female,No
no,ENGLISH,30,"I might have left one of the questions blank, as my cat jumped onto the keyboard as I was going to answer. I enjoyed this hit.",0,2,4.50,43,Male,Yes
none,English Language,124,,3,2,5.00,42,Male,Yes
NONE,English,125,none,3,2,5,30,Female,No
No.,English,126,,3,0,4.50,31,Male,Yes
No,English,127,,3,2,4.00,25,Female,Yes
no,English,128,,3,2,4,37,Male,Yes
no...just a bunch of typos,English,129,,3,1,4.50,37,Female,Yes
none,English,130,interesting,1,1,yes,31,Male,Yes
"No, there were several typos, however",English,131,,2,1,6.00,36,Male,Yes
No issues,English,132,,1,2,4.50,28,Male,Yes
No.,English,133,Nothing special to add.,3,2,4.50,58,Female,Yes
NA,English,134,,3,1,4.5,36,Male,Yes
No,English,135,None,2,2,4.50,37,Female,Yes
no,english,136,i don't have any,2,2,2.90,37,Female,Yes
No,English,137,,2,2,$5.00,38,Male,Yes
No,english,40,No,2,2,5.00,34,Male,No
No,English,138,,4,2,Yes,34,Male,Yes
No problems.,English,74,,4,2,4.50,39,Male,Yes
no,English,17,,3,2,4.50,51,Male,Yes
No,English,139,None thank you,3,2,8,35,Female,Yes
,,140,,-1,-1,,,,
None,English ,141,None it was straight forward and ran well.,2,2,4.50,24,Male,Yes
None,English,142,,3,1,5,39,Male,Yes
no,English,143,Thank You,1,2,4.50,47,Female,Yes
no,english,82,"This was a great hit and I enjoyed it, thank you and keep up the excellent work!",3,2,5,40,Female,Yes
,English,144,,2,2,4.50,26,Male,Yes
nope,english,145,,3,1,4.00,27,Male,Yes
no problems,English,146,nice survey it was tough to decide on some since the intent was clear but the english was fractured...did my best...thanks,3,2,yes,65,Male,Yes
no,english,147,,3,2,4.50,29,Female,Yes
No,English,148,,3,1,5,24,Male,Yes
NO,ENGLISH,149,I am interested in learning more about something that may appealing to me.,3,2,5,30,Male,Yes
No problem,English,150,well,3,2,4.50,32,Male,Yes
no,English,151,,4,2,4.5,47,Female,Yes
No,English,32,,3,2,4.50,64,Female,Yes
no,English,152,,3,2,5.00,37,Male,Yes
no issues I noticed,English,153,,3,2,4.50,38,Male,Yes
no,English,154,n/a- thanks,3,1,4.50,38,Male,Yes
no,English,155,none,4,1,5.00,43,Female,Yes
some of the sentences had misspellings,English,156,,1,1,4.50,47,Male,Yes
no,English,157,,2,2,4.50,60,Male,Yes
no,English,158,well done,4,2,4.5,Female,Female,Yes
no,English,159,none,1,2,4.50,34,Male,Yes
nope,English,160,"Good pay, thanks.",3,2,4.5,28,Male,Yes
i noticed a few typos in the questions but as it seemed to be about grammar i mainly judged them on grammar,english,161,everything worked fine and was easy to understand,2,2,4.50,33,Male,Yes
"Other than typos, no problems",English,162,"Some were somewhat subjective. It was hard to always know if I answered right, or even well enough on the scale; would have preferred a simple yes/no/maybe.",3,1,4.50,52,Female,Yes
No,English,163,,4,2,4.50,34,Female,Yes
No,English,164,It was an engaging study,3,2,5.00,31,Male,Yes
none,English,165,,1,2,4,34,Female,Yes
no,english,77,,3,2,4.5,35,Male,Yes
No,English,166,Very nice experiment. Thank you,2,2,4.50,24,Female,Yes
No,English ,167,,2,2,Yes,32,Male,Yes
No there were not any bugs or problems,English,168,,2,1,3.00,30,Male,No
no,English,169,,1,2,4.5,38,Female,Yes
no,English,170,awesome,3,2,yes,28,Female,Yes
No,English ,171,This survey is very interesting.,3,1,8,31,Female,Yes
no,english,172,it was fun,1,2,4.50,27,Male,Yes
no,English,173,,3,2,yes,30,Female,Yes
All went fine.,English,174,"Good pay, good hit, thank you.",3,2,4.50,63,Male,Yes
No bug,English,175,Thank you for the opportunity to contribute to your research work,3,2,10,30,Male,No
"None, ither than some typos",English,176,Would love to do more like them,-1,2,4.50 is fair,33,Female,Yes
no,English,177,,3,2,5,54,Male,Yes
none,English,178,,3,1,$5,36,Male,Yes
no,English,179,Fun hit.,3,2,5,31,Male,Yes
no,English,180,,4,2,4.50,34,Female,Yes
no,English,181,,4,2,3,40,Male,Yes
I did not notice any problems.,English,182,"Thank you, and have a nice day!",2,2,4.50,51,Female,Yes
no,english,183,,3,1,5,29,Male,Yes
,english,184,,3,1,5.00,27,Female,Confused
N/A,English,185,it is a good and nice survey,3,2,it is good price ,27,Male,Yes
"No, but there were a few typos in the sentences.",English,186,,2,1,4.50,26,Male,Yes
"small typo on last sentence ""Context: The boy in the yellow shirt wonders whether he will pass the test. w"" There is an extra w after the period.",english,187,"no issues, any longer and it would have been a drag.",2,1,4.50,35,Male,No
A couple typos/misspellings,English,48,Thanks.,3,1,5.00,33,Male,Yes
no,english,188,,3,1,yes,27,Male,Yes
,,189,,-1,-1,,,,
no,English,190,,2,2,5,29,Female,Yes
