Answer.time_in_minutes,block_sequence,workerid,response,trial_sequence_total,Answer.condition,condition,first_response_value,wrong_attempts,list_number,item_number
3.6876,5,0,0.46,30,undefined,FILL,,,1,138
3.6876,5,0,0.75,31,undefined,SUBJ,,,1,23
3.6876,5,0,0.4,32,undefined,CNPC,,,1,22
3.6876,5,0,0.24,33,undefined,FILL,,,1,123
3.6876,5,0,0.6,34,undefined,FILL,,,1,108
3.6876,6,0,0.46,35,undefined,WH,,,1,33
3.6876,6,0,0.32,36,undefined,SUBJ,,,1,32
3.6876,6,0,0.81,37,undefined,FILL,,,1,126
3.6876,6,0,0.49,38,undefined,FILL,,,1,111
3.6876,6,0,0.32,39,undefined,FILL,,,1,141
3.6876,6,0,0.78,40,undefined,CNPC,,,1,31
3.6876,7,0,0.45,41,undefined,CNPC,,,1,37
3.6876,7,0,0.32,42,undefined,WH,,,1,39
3.6876,7,0,0.62,43,undefined,FILL,,,1,143
3.6876,7,0,0.51,44,undefined,SUBJ,,,1,38
3.6876,7,0,0.87,45,undefined,FILL,,,1,128
3.6876,7,0,0.32,46,undefined,FILL,,,1,113
3.6876,8,0,0.51,47,undefined,CNPC,,,1,16
3.6876,8,0,0.75,48,undefined,FILL,,,1,121
3.6876,8,0,0.26,49,undefined,FILL,,,1,106
3.6876,8,0,0.71,50,undefined,WH,,,1,18
3.6876,8,0,0.51,51,undefined,SUBJ,,,1,17
3.6876,8,0,0.31,52,undefined,FILL,,,1,136
3.6876,9,0,0.8,53,undefined,FILL,,,1,122
3.6876,9,0,0.51,54,undefined,WH,,,1,21
3.6876,9,0,0.86,55,undefined,FILL,,,1,137
3.6876,9,0,0.34,56,undefined,CNPC,,,1,19
3.6876,9,0,0.63,57,undefined,FILL,,,1,107
3.6876,9,0,0.5,58,undefined,SUBJ,,,1,20
3.6876,10,0,0.69,59,undefined,FILL,,,1,125
3.6876,10,0,0.35,60,undefined,SUBJ,,,1,29
3.6876,10,0,0.54,61,undefined,CNPC,,,1,28
3.6876,10,0,0.87,62,undefined,FILL,,,1,110
3.6876,10,0,0.19,63,undefined,WH,,,1,30
3.6876,10,0,0.52,64,undefined,FILL,,,1,140
3.6876,11,0,0.65,65,undefined,CNPC,,,1,10
3.6876,11,0,0.25,66,undefined,FILL,,,1,134
3.6876,11,0,0.6,67,undefined,FILL,,,1,119
3.6876,11,0,0.39,68,undefined,WH,,,1,12
3.6876,11,0,0.71,69,undefined,SUBJ,,,1,11
3.6876,11,0,0.49,70,undefined,FILL,,,1,104
3.6876,11,0,0.79,71,undefined,UNGRAM,,,99,994
3.6876,11,0,0.22,72,undefined,FILL,,,99,994
3.6876,12,0,0.52,73,undefined,CNPC,,,1,13
3.6876,12,0,0.92,74,undefined,SUBJ,,,1,14
3.6876,12,0,0.21,75,undefined,FILL,,,1,120
3.6876,12,0,0.52,76,undefined,FILL,,,1,105
3.6876,12,0,0.74,77,undefined,FILL,,,1,135
3.6876,12,0,0.19,78,undefined,WH,,,1,15
3.6876,13,0,0.51,79,undefined,CNPC,,,1,7
3.6876,13,0,0.75,80,undefined,FILL,,,1,103
3.6876,13,0,0.51,81,undefined,FILL,,,1,133
3.6876,13,0,0.23,82,undefined,FILL,,,1,118
3.6876,13,0,0.64,83,undefined,SUBJ,,,1,8
3.6876,13,0,0.5,84,undefined,WH,,,1,9
3.6876,13,0,0.35,85,undefined,UNGRAM,,,99,993
3.6876,13,0,0.54,86,undefined,FILL,,,99,993
3.6876,14,0,0.76,87,undefined,SUBJ,,,1,41
3.6876,14,0,0.41,88,undefined,FILL,,,1,129
3.6876,14,0,0.55,89,undefined,FILL,,,1,114
3.6876,14,0,0.3,90,undefined,CNPC,,,1,40
3.6876,14,0,0.65,91,undefined,FILL,,,1,144
3.6876,14,0,0.51,92,undefined,WH,,,1,42
3.6876,15,0,0.85,93,undefined,CNPC,,,1,25
3.6876,15,0,0.37,94,undefined,FILL,,,1,124
3.6876,15,0,0.55,95,undefined,FILL,,,1,109
3.6876,15,0,0.27,96,undefined,SUBJ,,,1,26
3.6876,15,0,0.78,97,undefined,FILL,,,1,139
3.6876,15,0,0.56,98,undefined,WH,,,1,27
7.50205,practice,1,1,0,undefined,practice_good,,0,practice,practice_good
7.50205,practice,1,0,0,undefined,practice_bad,,0,practice,practice_bad
7.50205,1,1,0.22,1,undefined,CNPC,,,1,31
7.50205,1,1,0.76,2,undefined,FILL,,,1,126
7.50205,1,1,0.67,3,undefined,SUBJ,,,1,32
7.50205,1,1,0.62,4,undefined,FILL,,,1,111
7.50205,1,1,0.97,5,undefined,FILL,,,1,141
7.50205,1,1,0.93,6,undefined,WH,,,1,33
7.50205,2,1,0.1,7,undefined,SUBJ,,,1,41
7.50205,2,1,0.17,8,undefined,CNPC,,,1,40
7.50205,2,1,0.73,9,undefined,FILL,,,1,114
7.50205,2,1,0.74,10,undefined,FILL,,,1,129
7.50205,2,1,0.45,11,undefined,WH,,,1,42
7.50205,2,1,0.25,12,undefined,FILL,,,1,144
7.50205,3,1,0.92,13,undefined,FILL,,,1,109
7.50205,3,1,0.87,14,undefined,CNPC,,,1,25
7.50205,3,1,0.94,15,undefined,SUBJ,,,1,26
7.50205,3,1,0.1,16,undefined,FILL,,,1,124
7.50205,3,1,0.1,17,undefined,FILL,,,1,139
7.50205,3,1,0.93,18,undefined,WH,,,1,27
7.50205,4,1,0.9,19,undefined,FILL,,,1,110
7.50205,4,1,0.15,20,undefined,SUBJ,,,1,29
7.50205,4,1,0.9,21,undefined,FILL,,,1,140
7.50205,4,1,0.94,22,undefined,WH,,,1,30
7.50205,4,1,0.72,23,undefined,FILL,,,1,125
7.50205,4,1,0.28,24,undefined,CNPC,,,1,28
7.50205,5,1,0.5,25,undefined,SUBJ,,,1,23
7.50205,5,1,0.79,26,undefined,CNPC,,,1,22
7.50205,5,1,0.91,27,undefined,FILL,,,1,123
7.50205,5,1,0.06,28,undefined,FILL,,,1,108
7.50205,5,1,0.07,29,undefined,WH,,,1,24
7.50205,5,1,0.13,30,undefined,FILL,,,1,138
7.50205,6,1,0.27,31,undefined,SUBJ,,,1,20
7.50205,6,1,0.05,32,undefined,FILL,,,1,107
7.50205,6,1,0.45,33,undefined,FILL,,,1,122
7.50205,6,1,0.85,34,undefined,CNPC,,,1,19
7.50205,6,1,0.63,35,undefined,FILL,,,1,137
7.50205,6,1,0.94,36,undefined,WH,,,1,21
7.50205,7,1,0.04,37,undefined,WH,,,1,3
7.50205,7,1,0.93,38,undefined,CNPC,,,1,1
7.50205,7,1,0.89,39,undefined,SUBJ,,,1,2
7.50205,7,1,0.85,40,undefined,FILL,,,1,116
7.50205,7,1,0.94,41,undefined,FILL,,,1,131
7.50205,7,1,0.57,42,undefined,FILL,,,1,101
7.50205,7,1,0.8,43,undefined,UNGRAM,,,99,991
7.50205,7,1,0.74,44,undefined,FILL,,,99,991
7.50205,8,1,0.93,45,undefined,FILL,,,1,120
7.50205,8,1,0.44,46,undefined,WH,,,1,15
7.50205,8,1,0.32,47,undefined,FILL,,,1,135
7.50205,8,1,0.2,48,undefined,FILL,,,1,105
7.50205,8,1,0.46,49,undefined,CNPC,,,1,13
7.50205,8,1,0.24,50,undefined,SUBJ,,,1,14
7.50205,9,1,0.84,51,undefined,CNPC,,,1,37
7.50205,9,1,0.25,52,undefined,FILL,,,1,128
7.50205,9,1,0.96,53,undefined,FILL,,,1,113
7.50205,9,1,0.9,54,undefined,SUBJ,,,1,38
7.50205,9,1,0.9,55,undefined,WH,,,1,39
7.50205,9,1,0.16,56,undefined,FILL,,,1,143
7.50205,10,1,0.71,57,undefined,FILL,,,1,130
7.50205,10,1,0.47,58,undefined,FILL,,,1,115
7.50205,10,1,0.9,59,undefined,WH,,,1,45
7.50205,10,1,0.77,60,undefined,CNPC,,,1,43
7.50205,10,1,0.82,61,undefined,SUBJ,,,1,44
7.50205,10,1,0.41,62,undefined,FILL,,,1,145
7.50205,11,1,0.2,63,undefined,CNPC,,,1,4
7.50205,11,1,0.56,64,undefined,FILL,,,1,117
7.50205,11,1,0.8,65,undefined,FILL,,,1,102
7.50205,11,1,0.63,66,undefined,WH,,,1,6
7.50205,11,1,0.76,67,undefined,FILL,,,1,132
7.50205,11,1,0.33,68,undefined,SUBJ,,,1,5
7.50205,11,1,0.16,69,undefined,UNGRAM,,,99,992
7.50205,11,1,0,70,undefined,FILL,,,99,992
7.50205,12,1,0,71,undefined,FILL,,,1,106
7.50205,12,1,0.3,72,undefined,FILL,,,1,121
7.50205,12,1,0.77,73,undefined,CNPC,,,1,16
7.50205,12,1,1,74,undefined,FILL,,,1,136
7.50205,12,1,0.67,75,undefined,SUBJ,,,1,17
7.50205,12,1,0.07,76,undefined,WH,,,1,18
7.50205,13,1,0.86,77,undefined,FILL,,,1,118
7.50205,13,1,0.81,78,undefined,FILL,,,1,133
7.50205,13,1,0.96,79,undefined,CNPC,,,1,7
7.50205,13,1,0.65,80,undefined,SUBJ,,,1,8
7.50205,13,1,0.91,81,undefined,FILL,,,1,103
7.50205,13,1,0.26,82,undefined,WH,,,1,9
7.50205,13,1,0.59,83,undefined,UNGRAM,,,99,993
7.50205,13,1,0.76,84,undefined,FILL,,,99,993
7.50205,14,1,0.89,85,undefined,FILL,,,1,127
7.50205,14,1,0.05,86,undefined,FILL,,,1,142
7.50205,14,1,0.26,87,undefined,CNPC,,,1,34
7.50205,14,1,0.57,88,undefined,WH,,,1,36
7.50205,14,1,0.92,89,undefined,FILL,,,1,112
7.50205,14,1,0.62,90,undefined,SUBJ,,,1,35
7.50205,15,1,0.92,91,undefined,FILL,,,1,104
7.50205,15,1,0.92,92,undefined,FILL,,,1,134
7.50205,15,1,0,93,undefined,SUBJ,,,1,11
7.50205,15,1,1,94,undefined,CNPC,,,1,10
7.50205,15,1,1,95,undefined,FILL,,,1,119
7.50205,15,1,0,96,undefined,WH,,,1,12
7.50205,15,1,0.23,97,undefined,UNGRAM,,,99,994
7.50205,15,1,1,98,undefined,FILL,,,99,994
14.353433333333333,practice,2,0.78,0,undefined,practice_good,,0,practice,practice_good
14.353433333333333,practice,2,0.2,0,undefined,practice_bad,,0,practice,practice_bad
14.353433333333333,1,2,0.78,1,undefined,FILL,,,1,119
14.353433333333333,1,2,0.78,2,undefined,FILL,,,1,104
14.353433333333333,1,2,0.86,3,undefined,FILL,,,1,134
14.353433333333333,1,2,0.88,4,undefined,SUBJ,,,1,11
14.353433333333333,1,2,0.21,5,undefined,WH,,,1,12
14.353433333333333,1,2,0.22,6,undefined,CNPC,,,1,10
14.353433333333333,1,2,0.13,7,undefined,UNGRAM,,,99,994
14.353433333333333,1,2,0.92,8,undefined,FILL,,,99,994
14.353433333333333,2,2,0.94,9,undefined,FILL,,,1,128
14.353433333333333,2,2,0.18,10,undefined,SUBJ,,,1,38
14.353433333333333,2,2,0.89,11,undefined,FILL,,,1,143
14.353433333333333,2,2,0.17,12,undefined,CNPC,,,1,37
14.353433333333333,2,2,0.46,13,undefined,WH,,,1,39
14.353433333333333,2,2,0.75,14,undefined,FILL,,,1,113
14.353433333333333,3,2,0.69,15,undefined,WH,,,1,24
14.353433333333333,3,2,0.89,16,undefined,FILL,,,1,138
14.353433333333333,3,2,0.89,17,undefined,FILL,,,1,108
14.353433333333333,3,2,0.12,18,undefined,CNPC,,,1,22
14.353433333333333,3,2,0.86,19,undefined,FILL,,,1,123
14.353433333333333,3,2,0.22,20,undefined,SUBJ,,,1,23
14.353433333333333,4,2,0.19,21,undefined,CNPC,,,1,4
14.353433333333333,4,2,0.23,22,undefined,WH,,,1,6
14.353433333333333,4,2,0.94,23,undefined,FILL,,,1,117
14.353433333333333,4,2,0.87,24,undefined,FILL,,,1,132
14.353433333333333,4,2,0.9,25,undefined,FILL,,,1,102
14.353433333333333,4,2,0.68,26,undefined,SUBJ,,,1,5
14.353433333333333,4,2,0.17,27,undefined,UNGRAM,,,99,992
14.353433333333333,4,2,0.85,28,undefined,FILL,,,99,992
14.353433333333333,5,2,0.88,29,undefined,FILL,,,1,127
14.353433333333333,5,2,0.88,30,undefined,FILL,,,1,112
14.353433333333333,5,2,0.15,31,undefined,CNPC,,,1,34
14.353433333333333,5,2,0.91,32,undefined,FILL,,,1,142
14.353433333333333,5,2,0.19,33,undefined,SUBJ,,,1,35
14.353433333333333,5,2,0.18,34,undefined,WH,,,1,36
14.353433333333333,6,2,0.87,35,undefined,FILL,,,1,107
14.353433333333333,6,2,0.86,36,undefined,FILL,,,1,122
14.353433333333333,6,2,0.15,37,undefined,WH,,,1,21
14.353433333333333,6,2,0.84,38,undefined,FILL,,,1,137
14.353433333333333,6,2,0.36,39,undefined,CNPC,,,1,19
14.353433333333333,6,2,0.26,40,undefined,SUBJ,,,1,20
14.353433333333333,7,2,0.88,41,undefined,SUBJ,,,1,2
14.353433333333333,7,2,0.13,42,undefined,CNPC,,,1,1
14.353433333333333,7,2,0.87,43,undefined,FILL,,,1,131
14.353433333333333,7,2,0.94,44,undefined,FILL,,,1,116
14.353433333333333,7,2,0.91,45,undefined,FILL,,,1,101
14.353433333333333,7,2,0.18,46,undefined,WH,,,1,3
14.353433333333333,7,2,0.21,47,undefined,UNGRAM,,,99,991
14.353433333333333,7,2,0.8,48,undefined,FILL,,,99,991
14.353433333333333,8,2,0.48,49,undefined,SUBJ,,,1,44
14.353433333333333,8,2,0.23,50,undefined,WH,,,1,45
14.353433333333333,8,2,0.15,51,undefined,CNPC,,,1,43
14.353433333333333,8,2,0.86,52,undefined,FILL,,,1,115
14.353433333333333,8,2,0.88,53,undefined,FILL,,,1,145
14.353433333333333,8,2,0.89,54,undefined,FILL,,,1,130
14.353433333333333,9,2,0.86,55,undefined,FILL,,,1,105
14.353433333333333,9,2,0.87,56,undefined,SUBJ,,,1,14
14.353433333333333,9,2,0.82,57,undefined,FILL,,,1,135
14.353433333333333,9,2,0.5,58,undefined,WH,,,1,15
14.353433333333333,9,2,0.53,59,undefined,FILL,,,1,120
14.353433333333333,9,2,0.27,60,undefined,CNPC,,,1,13
14.353433333333333,10,2,0.78,61,undefined,SUBJ,,,1,8
14.353433333333333,10,2,0.79,62,undefined,FILL,,,1,133
14.353433333333333,10,2,0.16,63,undefined,CNPC,,,1,7
14.353433333333333,10,2,0.84,64,undefined,FILL,,,1,118
14.353433333333333,10,2,0.23,65,undefined,WH,,,1,9
14.353433333333333,10,2,0.82,66,undefined,FILL,,,1,103
14.353433333333333,10,2,0.24,67,undefined,UNGRAM,,,99,993
14.353433333333333,10,2,0.85,68,undefined,FILL,,,99,993
14.353433333333333,11,2,0.8,69,undefined,FILL,,,1,144
14.353433333333333,11,2,0.87,70,undefined,CNPC,,,1,40
14.353433333333333,11,2,0.8,71,undefined,FILL,,,1,114
14.353433333333333,11,2,0.89,72,undefined,FILL,,,1,129
14.353433333333333,11,2,0.17,73,undefined,SUBJ,,,1,41
14.353433333333333,11,2,0.26,74,undefined,WH,,,1,42
14.353433333333333,12,2,0.74,75,undefined,WH,,,1,18
14.353433333333333,12,2,0.93,76,undefined,FILL,,,1,136
14.353433333333333,12,2,0.92,77,undefined,FILL,,,1,121
14.353433333333333,12,2,0.72,78,undefined,FILL,,,1,106
14.353433333333333,12,2,0.26,79,undefined,SUBJ,,,1,17
14.353433333333333,12,2,0.24,80,undefined,CNPC,,,1,16
14.353433333333333,13,2,0.92,81,undefined,FILL,,,1,111
14.353433333333333,13,2,0.87,82,undefined,FILL,,,1,126
14.353433333333333,13,2,0.19,83,undefined,SUBJ,,,1,32
14.353433333333333,13,2,0.92,84,undefined,FILL,,,1,141
14.353433333333333,13,2,0.29,85,undefined,CNPC,,,1,31
14.353433333333333,13,2,0.25,86,undefined,WH,,,1,33
14.353433333333333,14,2,0.3,87,undefined,WH,,,1,30
14.353433333333333,14,2,0.86,88,undefined,FILL,,,1,110
14.353433333333333,14,2,0.82,89,undefined,FILL,,,1,140
14.353433333333333,14,2,0.85,90,undefined,FILL,,,1,125
14.353433333333333,14,2,0.81,91,undefined,CNPC,,,1,28
14.353433333333333,14,2,0.85,92,undefined,SUBJ,,,1,29
14.353433333333333,15,2,0.27,93,undefined,WH,,,1,27
14.353433333333333,15,2,0.73,94,undefined,SUBJ,,,1,26
14.353433333333333,15,2,0.74,95,undefined,CNPC,,,1,25
14.353433333333333,15,2,0.81,96,undefined,FILL,,,1,124
14.353433333333333,15,2,0.83,97,undefined,FILL,,,1,109
14.353433333333333,15,2,0.81,98,undefined,FILL,,,1,139
18.7696,practice,3,0.98,0,undefined,practice_good,,0,practice,practice_good
18.7696,practice,3,0.03,0,undefined,practice_bad,,0,practice,practice_bad
18.7696,1,3,0.97,1,undefined,FILL,,,1,127
18.7696,1,3,0.78,2,undefined,WH,,,1,36
18.7696,1,3,0.98,3,undefined,FILL,,,1,142
18.7696,1,3,0.99,4,undefined,FILL,,,1,112
18.7696,1,3,0.67,5,undefined,CNPC,,,1,34
18.7696,1,3,0.72,6,undefined,SUBJ,,,1,35
18.7696,2,3,0.5,7,undefined,SUBJ,,,1,11
18.7696,2,3,0.75,8,undefined,FILL,,,1,104
18.7696,2,3,0.97,9,undefined,FILL,,,1,134
18.7696,2,3,0.37,10,undefined,CNPC,,,1,10
18.7696,2,3,0.99,11,undefined,FILL,,,1,119
18.7696,2,3,0.66,12,undefined,WH,,,1,12
18.7696,2,3,0.03,13,undefined,UNGRAM,,,99,994
18.7696,2,3,0.97,14,undefined,FILL,,,99,994
18.7696,3,3,0.99,15,undefined,FILL,,,1,116
18.7696,3,3,0.6,16,undefined,CNPC,,,1,1
18.7696,3,3,0.71,17,undefined,WH,,,1,3
18.7696,3,3,0.4,18,undefined,SUBJ,,,1,2
18.7696,3,3,0.86,19,undefined,FILL,,,1,101
18.7696,3,3,0.99,20,undefined,FILL,,,1,131
18.7696,3,3,0,21,undefined,UNGRAM,,,99,991
18.7696,3,3,0.96,22,undefined,FILL,,,99,991
18.7696,4,3,0.05,23,undefined,SUBJ,,,1,23
18.7696,4,3,0.54,24,undefined,CNPC,,,1,22
18.7696,4,3,0.96,25,undefined,FILL,,,1,123
18.7696,4,3,0.98,26,undefined,FILL,,,1,108
18.7696,4,3,0.5,27,undefined,WH,,,1,24
18.7696,4,3,0.98,28,undefined,FILL,,,1,138
18.7696,5,3,0.61,29,undefined,WH,,,1,21
18.7696,5,3,0.99,30,undefined,FILL,,,1,137
18.7696,5,3,0.98,31,undefined,FILL,,,1,107
18.7696,5,3,0.01,32,undefined,SUBJ,,,1,20
18.7696,5,3,0.97,33,undefined,FILL,,,1,122
18.7696,5,3,0.53,34,undefined,CNPC,,,1,19
18.7696,6,3,0.97,35,undefined,FILL,,,1,120
18.7696,6,3,0.62,36,undefined,SUBJ,,,1,14
18.7696,6,3,0.66,37,undefined,CNPC,,,1,13
18.7696,6,3,0.97,38,undefined,WH,,,1,15
18.7696,6,3,0.99,39,undefined,FILL,,,1,105
18.7696,6,3,0.97,40,undefined,FILL,,,1,135
18.7696,7,3,0.98,41,undefined,FILL,,,1,140
18.7696,7,3,0.99,42,undefined,FILL,,,1,110
18.7696,7,3,0.73,43,undefined,WH,,,1,30
18.7696,7,3,0.98,44,undefined,FILL,,,1,125
18.7696,7,3,0.78,45,undefined,CNPC,,,1,28
18.7696,7,3,0.81,46,undefined,SUBJ,,,1,29
18.7696,8,3,0.98,47,undefined,FILL,,,1,132
18.7696,8,3,0.98,48,undefined,FILL,,,1,117
18.7696,8,3,0.58,49,undefined,SUBJ,,,1,5
18.7696,8,3,0.99,50,undefined,FILL,,,1,102
18.7696,8,3,0.79,51,undefined,CNPC,,,1,4
18.7696,8,3,0.84,52,undefined,WH,,,1,6
18.7696,8,3,0,53,undefined,UNGRAM,,,99,992
18.7696,8,3,0.99,54,undefined,FILL,,,99,992
18.7696,9,3,0.97,55,undefined,FILL,,,1,129
18.7696,9,3,0.97,56,undefined,FILL,,,1,114
18.7696,9,3,0.98,57,undefined,WH,,,1,42
18.7696,9,3,0.82,58,undefined,CNPC,,,1,40
18.7696,9,3,0.53,59,undefined,SUBJ,,,1,41
18.7696,9,3,0.98,60,undefined,FILL,,,1,144
18.7696,10,3,0.97,61,undefined,FILL,,,1,118
18.7696,10,3,0.4,62,undefined,SUBJ,,,1,8
18.7696,10,3,0.8,63,undefined,FILL,,,1,103
18.7696,10,3,0.98,64,undefined,WH,,,1,9
18.7696,10,3,0.45,65,undefined,CNPC,,,1,7
18.7696,10,3,0.98,66,undefined,FILL,,,1,133
18.7696,10,3,0.02,67,undefined,UNGRAM,,,99,993
18.7696,10,3,0.97,68,undefined,FILL,,,99,993
18.7696,11,3,0.96,69,undefined,WH,,,1,18
18.7696,11,3,0.98,70,undefined,FILL,,,1,136
18.7696,11,3,0.98,71,undefined,FILL,,,1,121
18.7696,11,3,0.96,72,undefined,FILL,,,1,106
18.7696,11,3,0.97,73,undefined,CNPC,,,1,16
18.7696,11,3,0.55,74,undefined,SUBJ,,,1,17
18.7696,12,3,0.97,75,undefined,FILL,,,1,128
18.7696,12,3,0.6,76,undefined,WH,,,1,39
18.7696,12,3,0.73,77,undefined,SUBJ,,,1,38
18.7696,12,3,0.97,78,undefined,FILL,,,1,143
18.7696,12,3,0.65,79,undefined,CNPC,,,1,37
18.7696,12,3,0.98,80,undefined,FILL,,,1,113
18.7696,13,3,0.99,81,undefined,FILL,,,1,115
18.7696,13,3,0.33,82,undefined,SUBJ,,,1,44
18.7696,13,3,1,83,undefined,WH,,,1,45
18.7696,13,3,0.98,84,undefined,FILL,,,1,145
18.7696,13,3,0.97,85,undefined,FILL,,,1,130
18.7696,13,3,0.95,86,undefined,CNPC,,,1,43
18.7696,14,3,0.98,87,undefined,SUBJ,,,1,26
18.7696,14,3,0.98,88,undefined,CNPC,,,1,25
18.7696,14,3,0.98,89,undefined,FILL,,,1,124
18.7696,14,3,0.98,90,undefined,FILL,,,1,139
18.7696,14,3,0.98,91,undefined,FILL,,,1,109
18.7696,14,3,0.99,92,undefined,WH,,,1,27
18.7696,15,3,0.97,93,undefined,FILL,,,1,141
18.7696,15,3,0.84,94,undefined,FILL,,,1,126
18.7696,15,3,0.24,95,undefined,SUBJ,,,1,32
18.7696,15,3,0.99,96,undefined,FILL,,,1,111
18.7696,15,3,0.85,97,undefined,CNPC,,,1,31
18.7696,15,3,0.93,98,undefined,WH,,,1,33
21.309283333333333,practice,4,1,0,undefined,practice_good,,0,practice,practice_good
21.309283333333333,practice,4,0.17,0,undefined,practice_bad,0.85,1,practice,practice_bad
21.309283333333333,1,4,1,1,undefined,FILL,,,1,127
21.309283333333333,1,4,0.31,2,undefined,WH,,,1,36
21.309283333333333,1,4,1,3,undefined,FILL,,,1,142
21.309283333333333,1,4,0.39,4,undefined,SUBJ,,,1,35
21.309283333333333,1,4,0.9,5,undefined,FILL,,,1,112
21.309283333333333,1,4,0.26,6,undefined,CNPC,,,1,34
21.309283333333333,2,4,0.76,7,undefined,FILL,,,1,115
21.309283333333333,2,4,0.26,8,undefined,CNPC,,,1,43
21.309283333333333,2,4,0.99,9,undefined,FILL,,,1,130
21.309283333333333,2,4,1,10,undefined,FILL,,,1,145
21.309283333333333,2,4,0.36,11,undefined,SUBJ,,,1,44
21.309283333333333,2,4,0.11,12,undefined,WH,,,1,45
21.309283333333333,3,4,1,13,undefined,FILL,,,1,103
21.309283333333333,3,4,0.24,14,undefined,SUBJ,,,1,8
21.309283333333333,3,4,1,15,undefined,FILL,,,1,118
21.309283333333333,3,4,0.17,16,undefined,CNPC,,,1,7
21.309283333333333,3,4,0.19,17,undefined,WH,,,1,9
21.309283333333333,3,4,0.97,18,undefined,FILL,,,1,133
21.309283333333333,3,4,0,19,undefined,UNGRAM,,,99,993
21.309283333333333,3,4,1,20,undefined,FILL,,,99,993
21.309283333333333,4,4,1,21,undefined,FILL,,,1,109
21.309283333333333,4,4,0.22,22,undefined,SUBJ,,,1,26
21.309283333333333,4,4,0.15,23,undefined,CNPC,,,1,25
21.309283333333333,4,4,1,24,undefined,FILL,,,1,124
21.309283333333333,4,4,1,25,undefined,FILL,,,1,139
21.309283333333333,4,4,0.13,26,undefined,WH,,,1,27
21.309283333333333,5,4,0.22,27,undefined,FILL,,,1,111
21.309283333333333,5,4,0.19,28,undefined,SUBJ,,,1,32
21.309283333333333,5,4,0.18,29,undefined,CNPC,,,1,31
21.309283333333333,5,4,1,30,undefined,FILL,,,1,141
21.309283333333333,5,4,1,31,undefined,FILL,,,1,126
21.309283333333333,5,4,0.28,32,undefined,WH,,,1,33
21.309283333333333,6,4,1,33,undefined,FILL,,,1,132
21.309283333333333,6,4,0.2,34,undefined,CNPC,,,1,4
21.309283333333333,6,4,1,35,undefined,FILL,,,1,117
21.309283333333333,6,4,0.26,36,undefined,WH,,,1,6
21.309283333333333,6,4,0.2,37,undefined,SUBJ,,,1,5
21.309283333333333,6,4,0.98,38,undefined,FILL,,,1,102
21.309283333333333,6,4,0.2,39,undefined,UNGRAM,,,99,992
21.309283333333333,6,4,0.16,40,undefined,FILL,,,99,992
21.309283333333333,7,4,0.92,41,undefined,FILL,,,1,105
21.309283333333333,7,4,0.35,42,undefined,WH,,,1,15
21.309283333333333,7,4,0.93,43,undefined,FILL,,,1,120
21.309283333333333,7,4,0.19,44,undefined,SUBJ,,,1,14
21.309283333333333,7,4,1,45,undefined,FILL,,,1,135
21.309283333333333,7,4,0.14,46,undefined,CNPC,,,1,13
21.309283333333333,8,4,1,47,undefined,FILL,,,1,140
21.309283333333333,8,4,0.24,48,undefined,WH,,,1,30
21.309283333333333,8,4,0.97,49,undefined,FILL,,,1,125
21.309283333333333,8,4,1,50,undefined,FILL,,,1,110
21.309283333333333,8,4,0.27,51,undefined,SUBJ,,,1,29
21.309283333333333,8,4,0.31,52,undefined,CNPC,,,1,28
21.309283333333333,9,4,1,53,undefined,FILL,,,1,119
