Answer.time_in_minutes,item_number,first_response_value,wrong_attempts,condition,list_number,trial_sequence_total,Answer.condition,workerid,block_sequence,response
10.14495,8,,,SUBJ,1,75,undefined,0,15,0.89
,,,,,,,,,,
11.39225,practice_good,,0,practice_good,practice,0,undefined,1,practice,0.89
,,,,,,,,,,
11.39225,practice_bad,,0,practice_bad,practice,0,undefined,1,practice,0.05
,,,,,,,,,,
11.39225,12,,,WH,1,1,undefined,1,1,0.85
,,,,,,,,,,
11.39225,104,,,FILL,1,2,undefined,1,1,0.99
,,,,,,,,,,
11.39225,10,,,CNPC,1,3,undefined,1,1,0.67
,,,,,,,,,,
11.39225,119,,,UNGRAM,1,4,undefined,1,1,0.27
,,,,,,,,,,
11.39225,11,,,SUBJ,1,5,undefined,1,1,0.28
,,,,,,,,,,
11.39225,101,,,FILL,1,6,undefined,1,2,0.92
,,,,,,,,,,
11.39225,2,,,SUBJ,1,7,undefined,1,2,0.26
,,,,,,,,,,
11.39225,3,,,WH,1,8,undefined,1,2,0.79
,,,,,,,,,,
11.39225,1,,,CNPC,1,9,undefined,1,2,0.26
,,,,,,,,,,
11.39225,116,,,UNGRAM,1,10,undefined,1,2,0.26
,,,,,,,,,,
11.39225,15,,,WH,1,11,undefined,1,3,0.84
,,,,,,,,,,
11.39225,14,,,SUBJ,1,12,undefined,1,3,0.73
,,,,,,,,,,
11.39225,13,,,CNPC,1,13,undefined,1,3,0.42
,,,,,,,,,,
11.39225,105,,,FILL,1,14,undefined,1,3,0.93
,,,,,,,,,,
11.39225,120,,,UNGRAM,1,15,undefined,1,3,0.26
,,,,,,,,,,
11.39225,118,,,UNGRAM,1,16,undefined,1,4,0.24
,,,,,,,,,,
11.39225,7,,,CNPC,1,17,undefined,1,4,0.87
,,,,,,,,,,
11.39225,103,,,FILL,1,18,undefined,1,4,0.88
,,,,,,,,,,
11.39225,8,,,SUBJ,1,19,undefined,1,4,0.32
,,,,,,,,,,
11.39225,9,,,WH,1,20,undefined,1,4,0.29
,,,,,,,,,,
11.39225,38,,,SUBJ,1,21,undefined,1,5,0.17
,,,,,,,,,,
11.39225,128,,,UNGRAM,1,22,undefined,1,5,0.21
,,,,,,,,,,
11.39225,113,,,FILL,1,23,undefined,1,5,0.97
,,,,,,,,,,
11.39225,37,,,CNPC,1,24,undefined,1,5,0.39
,,,,,,,,,,
11.39225,39,,,WH,1,25,undefined,1,5,0.43
,,,,,,,,,,
11.39225,36,,,WH,1,26,undefined,1,6,0.84
,,,,,,,,,,
11.39225,35,,,SUBJ,1,27,undefined,1,6,0.86
,,,,,,,,,,
11.39225,127,,,UNGRAM,1,28,undefined,1,6,0.17
,,,,,,,,,,
11.39225,34,,,CNPC,1,29,undefined,1,6,0.8
,,,,,,,,,,
11.39225,112,,,FILL,1,30,undefined,1,6,0.9
,,,,,,,,,,
11.39225,126,,,UNGRAM,1,31,undefined,1,7,0.22
,,,,,,,,,,
11.39225,31,,,CNPC,1,32,undefined,1,7,0.85
,,,,,,,,,,
11.39225,111,,,FILL,1,33,undefined,1,7,0.96
,,,,,,,,,,
11.39225,33,,,WH,1,34,undefined,1,7,0.67
,,,,,,,,,,
11.39225,32,,,SUBJ,1,35,undefined,1,7,0.77
,,,,,,,,,,
11.39225,18,,,WH,1,36,undefined,1,8,0.79
,,,,,,,,,,
11.39225,106,,,FILL,1,37,undefined,1,8,0.79
,,,,,,,,,,
11.39225,121,,,UNGRAM,1,38,undefined,1,8,0.17
,,,,,,,,,,
11.39225,16,,,CNPC,1,39,undefined,1,8,0.89
,,,,,,,,,,
11.39225,17,,,SUBJ,1,40,undefined,1,8,0.82
,,,,,,,,,,
11.39225,117,,,UNGRAM,1,41,undefined,1,9,0.12
,,,,,,,,,,
11.39225,102,,,FILL,1,42,undefined,1,9,0.83
,,,,,,,,,,
11.39225,4,,,CNPC,1,43,undefined,1,9,0.18
,,,,,,,,,,
11.39225,6,,,WH,1,44,undefined,1,9,0.77
,,,,,,,,,,
11.39225,5,,,SUBJ,1,45,undefined,1,9,0.24
,,,,,,,,,,
11.39225,110,,,FILL,1,46,undefined,1,10,0.84
,,,,,,,,,,
11.39225,125,,,UNGRAM,1,47,undefined,1,10,0.2
,,,,,,,,,,
11.39225,30,,,WH,1,48,undefined,1,10,0.79
,,,,,,,,,,
11.39225,28,,,CNPC,1,49,undefined,1,10,0.85
,,,,,,,,,,
11.39225,29,,,SUBJ,1,50,undefined,1,10,0.29
,,,,,,,,,,
11.39225,25,,,CNPC,1,51,undefined,1,11,0.81
,,,,,,,,,,
11.39225,109,,,FILL,1,52,undefined,1,11,0.84
,,,,,,,,,,
11.39225,124,,,UNGRAM,1,53,undefined,1,11,0.14
,,,,,,,,,,
11.39225,27,,,WH,1,54,undefined,1,11,0.83
,,,,,,,,,,
11.39225,26,,,SUBJ,1,55,undefined,1,11,0.8
,,,,,,,,,,
11.39225,20,,,SUBJ,1,56,undefined,1,12,0.8
,,,,,,,,,,
11.39225,107,,,FILL,1,57,undefined,1,12,0.82
,,,,,,,,,,
11.39225,122,,,UNGRAM,1,58,undefined,1,12,0.12
,,,,,,,,,,
11.39225,19,,,CNPC,1,59,undefined,1,12,0.84
,,,,,,,,,,
11.39225,21,,,WH,1,60,undefined,1,12,0.8
,,,,,,,,,,
11.39225,22,,,CNPC,1,61,undefined,1,13,0.89
,,,,,,,,,,
11.39225,23,,,SUBJ,1,62,undefined,1,13,0.19
,,,,,,,,,,
11.39225,24,,,WH,1,63,undefined,1,13,0.82
,,,,,,,,,,
11.39225,123,,,UNGRAM,1,64,undefined,1,13,0.14
,,,,,,,,,,
11.39225,108,,,FILL,1,65,undefined,1,13,0.83
,,,,,,,,,,
11.39225,45,,,WH,1,66,undefined,1,14,0.8
,,,,,,,,,,
11.39225,43,,,CNPC,1,67,undefined,1,14,0.77
,,,,,,,,,,
11.39225,44,,,SUBJ,1,68,undefined,1,14,0.82
,,,,,,,,,,
11.39225,115,,,FILL,1,69,undefined,1,14,0.66
,,,,,,,,,,
11.39225,130,,,UNGRAM,1,70,undefined,1,14,0.13
,,,,,,,,,,
11.39225,40,,,CNPC,1,71,undefined,1,15,0.81
,,,,,,,,,,
11.39225,42,,,WH,1,72,undefined,1,15,0.86
,,,,,,,,,,
11.39225,129,,,UNGRAM,1,73,undefined,1,15,0.18
,,,,,,,,,,
11.39225,41,,,SUBJ,1,74,undefined,1,15,0.81
,,,,,,,,,,
11.39225,114,,,FILL,1,75,undefined,1,15,0.85
,,,,,,,,,,
11.30036667,practice_good,,0,practice_good,practice,0,undefined,2,practice,0.98
,,,,,,,,,,
11.30036667,practice_bad,,0,practice_bad,practice,0,undefined,2,practice,0
,,,,,,,,,,
11.30036667,45,,,WH,1,1,undefined,2,1,0.57
,,,,,,,,,,
11.30036667,44,,,SUBJ,1,2,undefined,2,1,0.33
,,,,,,,,,,
11.30036667,43,,,CNPC,1,3,undefined,2,1,0.21
,,,,,,,,,,
11.30036667,130,,,UNGRAM,1,4,undefined,2,1,0.02
,,,,,,,,,,
11.30036667,115,,,FILL,1,5,undefined,2,1,0.99
,,,,,,,,,,
11.30036667,108,,,FILL,1,6,undefined,2,2,1
,,,,,,,,,,
11.30036667,24,,,WH,1,7,undefined,2,2,0.74
,,,,,,,,,,
11.30036667,23,,,SUBJ,1,8,undefined,2,2,0.33
,,,,,,,,,,
11.30036667,123,,,UNGRAM,1,9,undefined,2,2,0.01
,,,,,,,,,,
11.30036667,22,,,CNPC,1,10,undefined,2,2,0.18
,,,,,,,,,,
11.30036667,28,,,CNPC,1,11,undefined,2,3,0.8
,,,,,,,,,,
11.30036667,125,,,UNGRAM,1,12,undefined,2,3,0.02
,,,,,,,,,,
11.30036667,29,,,SUBJ,1,13,undefined,2,3,0.95
,,,,,,,,,,
11.30036667,110,,,FILL,1,14,undefined,2,3,1
,,,,,,,,,,
11.30036667,30,,,WH,1,15,undefined,2,3,0.71
,,,,,,,,,,
11.30036667,17,,,SUBJ,1,16,undefined,2,4,0.63
,,,,,,,,,,
11.30036667,121,,,UNGRAM,1,17,undefined,2,4,0
,,,,,,,,,,
11.30036667,106,,,FILL,1,18,undefined,2,4,1
,,,,,,,,,,
11.30036667,18,,,WH,1,19,undefined,2,4,0.88
,,,,,,,,,,
11.30036667,16,,,CNPC,1,20,undefined,2,4,0.52
,,,,,,,,,,
11.30036667,40,,,CNPC,1,21,undefined,2,5,0.85
,,,,,,,,,,
11.30036667,41,,,SUBJ,1,22,undefined,2,5,0.24
,,,,,,,,,,
11.30036667,42,,,WH,1,23,undefined,2,5,0.74
,,,,,,,,,,
11.30036667,129,,,UNGRAM,1,24,undefined,2,5,0.28
,,,,,,,,,,
11.30036667,114,,,FILL,1,25,undefined,2,5,0.97
,,,,,,,,,,
11.30036667,32,,,SUBJ,1,26,undefined,2,6,0.77
,,,,,,,,,,
11.30036667,111,,,FILL,1,27,undefined,2,6,0.98
,,,,,,,,,,
11.30036667,31,,,CNPC,1,28,undefined,2,6,0.83
,,,,,,,,,,
11.30036667,126,,,UNGRAM,1,29,undefined,2,6,0.02
,,,,,,,,,,
11.30036667,33,,,WH,1,30,undefined,2,6,1
,,,,,,,,,,
11.30036667,107,,,FILL,1,31,undefined,2,7,0.98
,,,,,,,,,,
11.30036667,20,,,SUBJ,1,32,undefined,2,7,0.97
,,,,,,,,,,
11.30036667,21,,,WH,1,33,undefined,2,7,0.75
,,,,,,,,,,
11.30036667,122,,,UNGRAM,1,34,undefined,2,7,0.01
,,,,,,,,,,
11.30036667,19,,,CNPC,1,35,undefined,2,7,0.81
,,,,,,,,,,
11.30036667,39,,,WH,1,36,undefined,2,8,0.84
,,,,,,,,,,
11.30036667,37,,,CNPC,1,37,undefined,2,8,0.78
,,,,,,,,,,
11.30036667,113,,,FILL,1,38,undefined,2,8,1
,,,,,,,,,,
11.30036667,128,,,UNGRAM,1,39,undefined,2,8,0
,,,,,,,,,,
11.30036667,38,,,SUBJ,1,40,undefined,2,8,0.29
,,,,,,,,,,
11.30036667,4,,,CNPC,1,41,undefined,2,9,0.97
,,,,,,,,,,
11.30036667,117,,,UNGRAM,1,42,undefined,2,9,0.01
,,,,,,,,,,
11.30036667,6,,,WH,1,43,undefined,2,9,0.96
,,,,,,,,,,
11.30036667,5,,,SUBJ,1,44,undefined,2,9,0.97
,,,,,,,,,,
11.30036667,102,,,FILL,1,45,undefined,2,9,0.98
,,,,,,,,,,
11.30036667,36,,,WH,1,46,undefined,2,10,1
,,,,,,,,,,
11.30036667,112,,,FILL,1,47,undefined,2,10,0.23
,,,,,,,,,,
11.30036667,35,,,SUBJ,1,48,undefined,2,10,0.84
,,,,,,,,,,
11.30036667,127,,,UNGRAM,1,49,undefined,2,10,0
,,,,,,,,,,
11.30036667,34,,,CNPC,1,50,undefined,2,10,0.99
,,,,,,,,,,
11.30036667,14,,,SUBJ,1,51,undefined,2,11,0.97
,,,,,,,,,,
11.30036667,120,,,UNGRAM,1,52,undefined,2,11,0.01
,,,,,,,,,,
11.30036667,15,,,WH,1,53,undefined,2,11,0.99
,,,,,,,,,,
11.30036667,105,,,FILL,1,54,undefined,2,11,0.99
,,,,,,,,,,
11.30036667,13,,,CNPC,1,55,undefined,2,11,0.51
,,,,,,,,,,
11.30036667,3,,,WH,1,56,undefined,2,12,0.5
,,,,,,,,,,
11.30036667,1,,,CNPC,1,57,undefined,2,12,0.71
,,,,,,,,,,
11.30036667,2,,,SUBJ,1,58,undefined,2,12,0.99
,,,,,,,,,,
11.30036667,101,,,FILL,1,59,undefined,2,12,0.98
,,,,,,,,,,
11.30036667,116,,,UNGRAM,1,60,undefined,2,12,0.01
,,,,,,,,,,
11.30036667,11,,,SUBJ,1,61,undefined,2,13,1
,,,,,,,,,,
11.30036667,10,,,CNPC,1,62,undefined,2,13,0.98
,,,,,,,,,,
11.30036667,12,,,WH,1,63,undefined,2,13,0.86
,,,,,,,,,,
11.30036667,104,,,FILL,1,64,undefined,2,13,1
,,,,,,,,,,
11.30036667,119,,,UNGRAM,1,65,undefined,2,13,0
,,,,,,,,,,
11.30036667,103,,,FILL,1,66,undefined,2,14,0.99
,,,,,,,,,,
11.30036667,118,,,UNGRAM,1,67,undefined,2,14,0.02
,,,,,,,,,,
11.30036667,9,,,WH,1,68,undefined,2,14,1
,,,,,,,,,,
11.30036667,7,,,CNPC,1,69,undefined,2,14,0.32
,,,,,,,,,,
11.30036667,8,,,SUBJ,1,70,undefined,2,14,1
,,,,,,,,,,
11.30036667,124,,,UNGRAM,1,71,undefined,2,15,0.02
,,,,,,,,,,
11.30036667,27,,,WH,1,72,undefined,2,15,1
,,,,,,,,,,
11.30036667,109,,,FILL,1,73,undefined,2,15,0.98
,,,,,,,,,,
11.30036667,26,,,SUBJ,1,74,undefined,2,15,1
,,,,,,,,,,
11.30036667,25,,,CNPC,1,75,undefined,2,15,0.99
,,,,,,,,,,
6.16415,practice_good,,0,practice_good,practice,0,undefined,3,practice,0.86
,,,,,,,,,,
6.16415,practice_bad,,0,practice_bad,practice,0,undefined,3,practice,0.17
,,,,,,,,,,
6.16415,33,,,WH,1,1,undefined,3,1,0.15
,,,,,,,,,,
6.16415,111,,,FILL,1,2,undefined,3,1,0.7
,,,,,,,,,,
6.16415,32,,,SUBJ,1,3,undefined,3,1,0.14
,,,,,,,,,,
6.16415,31,,,CNPC,1,4,undefined,3,1,0.16
,,,,,,,,,,
6.16415,126,,,UNGRAM,1,5,undefined,3,1,0.03
,,,,,,,,,,
6.16415,28,,,CNPC,1,6,undefined,3,2,0.64
,,,,,,,,,,
6.16415,125,,,UNGRAM,1,7,undefined,3,2,0.06
,,,,,,,,,,
6.16415,30,,,WH,1,8,undefined,3,2,0.52
,,,,,,,,,,
6.16415,110,,,FILL,1,9,undefined,3,2,0.8
,,,,,,,,,,
6.16415,29,,,SUBJ,1,10,undefined,3,2,0.07
,,,,,,,,,,
6.16415,13,,,CNPC,1,11,undefined,3,3,0.58
,,,,,,,,,,
6.16415,15,,,WH,1,12,undefined,3,3,0.17
,,,,,,,,,,
6.16415,14,,,SUBJ,1,13,undefined,3,3,0.15
,,,,,,,,,,
6.16415,120,,,UNGRAM,1,14,undefined,3,3,0.01
,,,,,,,,,,
6.16415,105,,,FILL,1,15,undefined,3,3,0.92
,,,,,,,,,,
6.16415,106,,,FILL,1,16,undefined,3,4,0.7
,,,,,,,,,,
6.16415,121,,,UNGRAM,1,17,undefined,3,4,0.03
,,,,,,,,,,
6.16415,18,,,WH,1,18,undefined,3,4,0.29
,,,,,,,,,,
6.16415,17,,,SUBJ,1,19,undefined,3,4,0.26
,,,,,,,,,,
6.16415,16,,,CNPC,1,20,undefined,3,4,0.36
,,,,,,,,,,
6.16415,129,,,UNGRAM,1,21,undefined,3,5,0.02
,,,,,,,,,,
6.16415,41,,,SUBJ,1,22,undefined,3,5,0.28
,,,,,,,,,,
6.16415,42,,,WH,1,23,undefined,3,5,0.63
,,,,,,,,,,
6.16415,114,,,FILL,1,24,undefined,3,5,0.7
,,,,,,,,,,
6.16415,40,,,CNPC,1,25,undefined,3,5,0.17
,,,,,,,,,,
6.16415,122,,,UNGRAM,1,26,undefined,3,6,0.02
,,,,,,,,,,
6.16415,20,,,SUBJ,1,27,undefined,3,6,0.59
,,,,,,,,,,
6.16415,19,,,CNPC,1,28,undefined,3,6,0.24
,,,,,,,,,,
6.16415,21,,,WH,1,29,undefined,3,6,0.47
,,,,,,,,,,
6.16415,107,,,FILL,1,30,undefined,3,6,0.73
,,,,,,,,,,
6.16415,9,,,WH,1,31,undefined,3,7,0.03
,,,,,,,,,,
6.16415,7,,,CNPC,1,32,undefined,3,7,0.35
,,,,,,,,,,
6.16415,103,,,FILL,1,33,undefined,3,7,0.74
,,,,,,,,,,
6.16415,118,,,UNGRAM,1,34,undefined,3,7,0
,,,,,,,,,,
6.16415,8,,,SUBJ,1,35,undefined,3,7,0.1
,,,,,,,,,,
6.16415,119,,,UNGRAM,1,36,undefined,3,8,0.05
,,,,,,,,,,
6.16415,104,,,FILL,1,37,undefined,3,8,0.74
,,,,,,,,,,
6.16415,12,,,WH,1,38,undefined,3,8,0.5
,,,,,,,,,,
6.16415,11,,,SUBJ,1,39,undefined,3,8,0.28
,,,,,,,,,,
6.16415,10,,,CNPC,1,40,undefined,3,8,0.48
,,,,,,,,,,
6.16415,127,,,UNGRAM,1,41,undefined,3,9,0.06
,,,,,,,,,,
6.16415,36,,,WH,1,42,undefined,3,9,0.34
,,,,,,,,,,
6.16415,112,,,FILL,1,43,undefined,3,9,0.68
,,,,,,,,,,
6.16415,35,,,SUBJ,1,44,undefined,3,9,0.08
,,,,,,,,,,
6.16415,34,,,CNPC,1,45,undefined,3,9,0.23
,,,,,,,,,,
6.16415,128,,,UNGRAM,1,46,undefined,3,10,0.06
,,,,,,,,,,
6.16415,113,,,FILL,1,47,undefined,3,10,0.83
,,,,,,,,,,
6.16415,39,,,WH,1,48,undefined,3,10,0.63
,,,,,,,,,,
6.16415,38,,,SUBJ,1,49,undefined,3,10,0.3
,,,,,,,,,,
6.16415,37,,,CNPC,1,50,undefined,3,10,0.62
,,,,,,,,,,
6.16415,23,,,SUBJ,1,51,undefined,3,11,0.34
,,,,,,,,,,
6.16415,22,,,CNPC,1,52,undefined,3,11,0.3
,,,,,,,,,,
6.16415,123,,,UNGRAM,1,53,undefined,3,11,0.16
,,,,,,,,,,
6.16415,24,,,WH,1,54,undefined,3,11,0.49
,,,,,,,,,,
6.16415,108,,,FILL,1,55,undefined,3,11,0.79
,,,,,,,,,,
6.16415,109,,,FILL,1,56,undefined,3,12,0.71
,,,,,,,,,,
6.16415,25,,,CNPC,1,57,undefined,3,12,0.3
,,,,,,,,,,
6.16415,26,,,SUBJ,1,58,undefined,3,12,0.18
,,,,,,,,,,
6.16415,27,,,WH,1,59,undefined,3,12,0.58
,,,,,,,,,,
6.16415,124,,,UNGRAM,1,60,undefined,3,12,0.11
,,,,,,,,,,
6.16415,2,,,SUBJ,1,61,undefined,3,13,0.56
,,,,,,,,,,
6.16415,3,,,WH,1,62,undefined,3,13,0.22
,,,,,,,,,,
6.16415,116,,,UNGRAM,1,63,undefined,3,13,0.31
,,,,,,,,,,
6.16415,101,,,FILL,1,64,undefined,3,13,0.65
,,,,,,,,,,
6.16415,1,,,CNPC,1,65,undefined,3,13,0.24
,,,,,,,,,,
6.16415,117,,,UNGRAM,1,66,undefined,3,14,0.17
,,,,,,,,,,
6.16415,4,,,CNPC,1,67,undefined,3,14,0.54
,,,,,,,,,,
6.16415,6,,,WH,1,68,undefined,3,14,0.64
,,,,,,,,,,
6.16415,5,,,SUBJ,1,69,undefined,3,14,0.37
,,,,,,,,,,
6.16415,102,,,FILL,1,70,undefined,3,14,0.94
,,,,,,,,,,
6.16415,45,,,WH,1,71,undefined,3,15,0.73
,,,,,,,,,,
6.16415,44,,,SUBJ,1,72,undefined,3,15,0.41
,,,,,,,,,,
6.16415,43,,,CNPC,1,73,undefined,3,15,0.19
,,,,,,,,,,
6.16415,115,,,FILL,1,74,undefined,3,15,0.63
,,,,,,,,,,
6.16415,130,,,UNGRAM,1,75,undefined,3,15,0.05
,,,,,,,,,,
10.50275,practice_good,,0,practice_good,practice,0,undefined,4,practice,1
,,,,,,,,,,
10.50275,practice_bad,,0,practice_bad,practice,0,undefined,4,practice,0
,,,,,,,,,,
10.50275,33,,,WH,1,1,undefined,4,1,0
,,,,,,,,,,
10.50275,32,,,SUBJ,1,2,undefined,4,1,0.2
,,,,,,,,,,
10.50275,126,,,UNGRAM,1,3,undefined,4,1,0
,,,,,,,,,,
10.50275,111,,,FILL,1,4,undefined,4,1,0.61
,,,,,,,,,,
10.50275,31,,,CNPC,1,5,undefined,4,1,0.33
,,,,,,,,,,
10.50275,109,,,FILL,1,6,undefined,4,2,0.66
,,,,,,,,,,
10.50275,26,,,SUBJ,1,7,undefined,4,2,0.36
,,,,,,,,,,
10.50275,25,,,CNPC,1,8,undefined,4,2,0.74
,,,,,,,,,,
10.50275,124,,,UNGRAM,1,9,undefined,4,2,0
,,,,,,,,,,
10.50275,27,,,WH,1,10,undefined,4,2,0.74
,,,,,,,,,,
10.50275,13,,,CNPC,1,11,undefined,4,3,0.21
,,,,,,,,,,
10.50275,15,,,WH,1,12,undefined,4,3,0.8
,,,,,,,,,,
10.50275,120,,,UNGRAM,1,13,undefined,4,3,0
,,,,,,,,,,
10.50275,14,,,SUBJ,1,14,undefined,4,3,0
,,,,,,,,,,
10.50275,105,,,FILL,1,15,undefined,4,3,1
,,,,,,,,,,
10.50275,40,,,CNPC,1,16,undefined,4,4,0.1
,,,,,,,,,,
10.50275,41,,,SUBJ,1,17,undefined,4,4,0
,,,,,,,,,,
10.50275,129,,,UNGRAM,1,18,undefined,4,4,0
,,,,,,,,,,
10.50275,42,,,WH,1,19,undefined,4,4,0.75
,,,,,,,,,,
10.50275,114,,,FILL,1,20,undefined,4,4,1
,,,,,,,,,,
10.50275,128,,,UNGRAM,1,21,undefined,4,5,0
,,,,,,,,,,
10.50275,38,,,SUBJ,1,22,undefined,4,5,0.65
,,,,,,,,,,
10.50275,37,,,CNPC,1,23,undefined,4,5,0
,,,,,,,,,,
10.50275,113,,,FILL,1,24,undefined,4,5,1
,,,,,,,,,,
10.50275,39,,,WH,1,25,undefined,4,5,0.79
,,,,,,,,,,
10.50275,6,,,WH,1,26,undefined,4,6,0.97
,,,,,,,,,,
